#{"t_start": 1779732892.7866378, "env_id": "None"}
r,l,t
-30.9,500,0.963962
-31.415,500,1.928768
-22.97,106,2.884268
-33.875,254,3.356395
-24.975,130,3.60647
-31.435,248,4.098069
-28.005,210,4.485972
-32.07,500,6.186891
-30.49,207,6.5838
-31.42,500,8.244508
-21.955,107,8.442194
-30.505,500,9.39697
-29.13,500,11.040337
-29.71,500,11.940078
-29.155,500,13.633497
-29.355,500,14.590308
-28.59,500,16.20043
-28.12,500,17.12339
-30.375,238,17.548802
-26.885,500,19.184472
-33.95,307,19.794055
-26.85,500,21.603351
-27.125,500,22.497808
-23.79,500,24.166074
-37.41,405,24.947618
-26.425,500,25.975661
-26.67,500,27.726562
-23.325,500,28.662956
-26.895,500,30.448895
-31.745,267,30.945019
-25.74,500,32.596066
-22.58,500,33.569187
-22.02,500,35.286887
-22.565,500,36.143066
-21.73,500,37.749439
-20.63,500,38.660184
-20.74,500,40.27493
-24.31,172,40.583323
-19.495,500,41.51348
-21.855,141,41.771014
-20.675,500,43.388921
-21.38,500,44.314395
-21.215,500,45.934722
-20.81,500,46.860023
-20.775,500,48.499922
-19.02,500,49.412974
-29.495,348,50.75547
-15.735,500,51.66925
-17.765,500,53.31988
-18.565,500,54.224198
-34.355,459,55.798724
-32.49,480,56.682362
-17.375,500,58.399363
-17.94,500,59.30624
-14.99,500,61.002735
-19.725,500,62.007264
-14.25,500,63.673685
-17.04,500,64.617517
-15.375,500,65.539447
-15.385,500,67.192858
-15.195,500,68.128096
-15.74,500,69.726686
-12.01,500,70.638842
-14.705,500,72.298408
-13.99,500,73.237732
-16.84,500,74.892784
-26.74,335,75.50028
-24.875,274,76.012644
-11.805,500,77.674522
-17.525,500,78.60084
-15.58,500,80.215166
-11.05,500,81.106628
-14.47,500,82.722828
-13.54,500,83.5927
-14.28,500,85.233097
-14.635,500,86.099686
-13.37,500,87.753137
-15.195,500,88.948542
-13.34,500,90.082005
-17.155,500,90.415438
-13.32,500,91.191965
-26.28,387,91.460659
-13.18,500,92.195517
-13.94,500,92.572863
-13.9,500,93.986155
-12.705,500,94.68426
-14.315,500,96.033059
-12.825,500,96.387278
-14.195,500,97.135787
-14.36,500,97.49604
-13.01,500,98.227416
-11.86,500,98.592958
-13.1,500,99.254498
-15.33,500,99.629731
-9.25,500,100.885932
-11.945,500,101.544818
-13.145,500,102.860836
-11.55,500,103.242086
-14.075,500,103.892732
-13.975,500,104.321716
-27.7,394,104.595097
-14.165,500,105.352874
-13.385,500,105.690805
-13.025,500,106.830008
-13.58,500,107.429836
-12.895,500,108.967582
-11.415,500,109.315507
-24.04,283,109.900795
-13.035,500,110.281687
