#{"t_start": 1779731528.962205, "env_id": "None"}
r,l,t
-51.89,484,2.359297
-35.2,500,3.315692
-37.95,338,3.927102
-30.4,500,4.8989
-42.43,426,10.57857
-26.06,170,10.942745
-30.46,208,11.378229
-28.58,500,12.341295
-20.225,41,12.4169
-35.525,276,12.929773
-33.79,500,14.169183
-29.32,500,19.14955
-29.64,500,20.487884
-28.185,183,21.278975
-30.42,500,22.479411
-28.94,500,23.551494
-29.86,500,28.868033
-32.26,500,30.422271
-30.065,500,31.359578
-32.795,500,32.278398
-31.525,500,37.667166
-30.645,500,39.258383
-34.17,500,40.670056
-31.035,500,41.81879
-32.14,500,47.780999
-34.45,500,49.270791
-29.285,500,50.594656
-30.375,500,51.980357
-29.645,500,57.88188
-30.745,500,59.155967
-32.03,500,60.351142
-32.14,500,61.295996
-28.11,500,65.924706
-31.995,500,67.139027
-29.455,500,68.284075
-28.98,500,69.402314
-28.455,500,74.501953
-30.07,500,76.053022
-28.555,500,77.520375
-30.805,500,79.117311
-28.81,500,84.431235
-29.655,500,85.382223
-18.79,68,85.512456
-28.61,500,86.390166
-20.705,89,86.56299
-28.255,500,87.530938
-29.045,500,92.644558
-29.275,214,93.040273
-21.48,107,93.282395
-32.6,292,93.826288
-25.46,500,94.723598
-26.57,500,95.686899
-29.1,500,101.126384
-24.985,500,103.211583
-27.25,194,103.829942
-26.0,500,105.280282
-24.15,500,111.930261
-22.47,127,112.284702
-31.195,500,113.234108
-27.195,500,114.229089
-28.665,500,115.145889
-27.52,500,119.54218
-21.75,500,120.492361
-23.9,500,121.609041
-37.455,351,122.563281
-38.885,401,123.892405
-25.825,500,128.46523
-19.94,54,128.582514
-27.095,500,129.695467
-25.685,500,130.702588
-26.305,500,131.693779
-27.61,220,136.682921
-21.69,500,138.249061
-23.07,500,139.424658
-28.895,500,140.488267
-21.055,500,141.773352
-29.765,500,146.777934
-27.365,500,147.796421
-22.105,116,148.054368
-26.94,500,149.31164
-36.115,342,150.131742
-26.365,500,155.955521
-25.33,500,157.704895
-37.445,435,159.027008
-25.265,500,160.014876
-22.195,500,165.706441
-24.59,500,167.244407
-25.2,500,168.590645
-19.91,78,168.824464
-26.385,500,170.153467
-22.535,500,176.72327
-21.315,500,178.272185
-19.31,500,179.328352
-20.825,500,180.801688
-19.47,500,186.387285
-22.345,500,187.888309
-21.955,500,189.35226
-21.475,500,190.887531
-21.415,500,196.88728
-30.78,344,197.85873
-29.83,299,198.783948
-19.3,500,200.044967
-29.795,286,200.578849
-17.15,500,205.593729
-18.165,500,206.75818
-20.49,500,207.859309
-22.51,500,208.984676
-38.94,461,209.992924
-22.605,155,214.682889
-22.73,500,215.720707
-19.42,500,217.095522
-17.89,500,218.162756
-15.775,500,223.532509
-18.465,500,225.06425
-22.325,500,226.551102
-21.475,500,227.598904
