#{"t_start": 1779733209.9609702, "env_id": "None"}
r,l,t
-30.78,245,0.493937
-25.89,120,0.709925
-20.5,65,0.833147
-34.655,252,1.499638
-26.22,154,1.790203
-32.795,500,2.907029
-29.875,500,3.97209
-30.635,500,5.069614
-45.935,459,6.090843
-20.89,77,6.234683
-28.645,500,7.350102
-37.245,341,8.176841
-20.155,54,8.285833
-29.69,220,8.688983
-21.635,96,8.860123
-24.385,152,9.325945
-25.98,164,9.57644
-24.745,139,9.823748
-37.275,341,10.622497
-29.345,500,11.166656
-28.415,500,11.679853
-29.135,500,12.11727
-23.985,500,12.530277
-24.515,500,12.970438
-22.86,500,13.509653
-24.93,500,13.944598
-22.495,500,14.363801
-23.71,500,14.758007
-40.535,491,15.193537
-32.45,323,15.664792
-19.3,500,16.62009
-23.8,220,17.083991
-18.35,500,17.539735
-18.445,500,18.181471
-23.255,197,18.354296
-21.52,500,19.20068
-18.24,500,20.190949
-18.34,500,20.684939
-23.74,277,21.005611
-17.88,500,22.565362
-19.97,72,22.702324
-17.03,500,23.708692
-26.435,241,24.086277
-19.07,500,25.506962
-33.395,450,26.520082
-18.42,79,26.660726
-16.49,500,27.731683
-18.675,500,28.5551
-24.24,189,28.959325
-18.38,500,29.872626
-15.47,500,30.754765
-15.56,500,31.494759
-16.75,500,33.167179
-17.895,500,34.349038
-13.81,500,35.075455
-15.675,500,35.587105
-27.165,301,36.29853
-14.155,500,37.368414
-14.52,500,38.457228
-14.525,500,39.501689
-18.565,76,39.643367
-30.645,438,40.591453
-23.1,187,40.940759
-16.615,500,42.055117
-21.62,500,43.120295
-19.085,500,44.183593
-15.255,500,45.284095
-25.615,274,45.999431
-11.84,500,47.063438
-19.74,104,47.257461
-23.35,243,47.689151
-15.63,500,48.772739
-15.51,500,49.879171
-29.805,448,50.897919
-20.41,151,51.031406
-11.845,500,51.561964
-25.3,248,51.841752
-16.51,500,52.295793
-14.28,500,52.763182
-12.03,500,53.190052
-16.61,500,53.643697
-15.17,500,54.071386
-12.7,500,54.536675
-17.005,500,54.999666
-12.36,500,55.436398
-14.635,500,55.884754
-14.855,500,56.322437
-14.45,500,56.89917
-29.645,410,57.201738
-29.365,410,57.729851
-23.93,220,58.346446
-22.92,219,58.748063
-32.235,407,59.64318
-21.805,152,59.920515
-11.245,500,60.96598
-20.19,140,61.057155
-20.49,164,61.25604
-29.435,458,61.673678
-25.685,301,61.891021
-27.97,382,62.244506
-10.62,500,62.715468
-22.34,205,62.852135
-12.505,500,63.296404
-28.37,329,63.655285
-32.06,421,64.044811
-15.47,500,64.458636
-13.735,500,64.906113
-13.01,500,65.333676
-14.145,500,65.768286
-14.05,500,66.211185
-13.185,500,66.658061
-13.485,500,67.154394
-13.52,500,67.564139
-14.61,500,68.032704
-13.095,500,68.497805
-14.6,500,68.922709
-14.16,500,69.386402
-12.57,500,69.8591
-32.23,485,70.221328
-13.955,500,70.659653
-14.27,500,71.131669
-11.115,500,71.574961
-32.02,447,71.973764
-30.705,434,72.376006
-13.245,500,72.851576
