#{"t_start": 1779733888.1490133, "env_id": "None"}
r,l,t
-28.265,204,0.397404
-23.865,115,0.603672
-41.96,385,1.485386
-34.735,289,1.991648
-30.15,500,3.075218
-33.885,275,3.765191
-31.105,500,4.796212
-32.675,500,5.862149
-42.26,384,6.766355
-20.57,84,6.926727
-45.645,436,7.869099
-26.245,175,8.204451
-38.89,323,8.977554
-48.015,422,9.712338
-26.525,177,10.210992
-44.81,417,11.142547
-34.0,280,11.626213
-20.92,47,11.70766
-29.225,500,12.772442
-29.865,500,13.865953
-31.07,500,14.941719
-28.035,500,16.034304
-30.555,500,17.12232
-28.09,500,18.254219
-31.89,275,18.994262
-43.375,422,19.753484
-40.17,429,20.719965
-22.035,144,21.165344
-21.14,97,21.3553
-28.52,500,22.420386
-20.07,80,22.571557
-26.755,500,23.739066
-26.705,500,24.921849
-27.09,500,25.976185
-29.76,271,26.477746
-29.365,252,27.142429
-25.14,500,28.238907
-42.755,480,29.321373
-26.335,500,30.44826
-30.51,244,30.885827
-28.705,240,31.510998
-24.795,500,32.657081
-29.555,287,33.208923
-25.335,500,34.350642
-34.055,333,35.182547
-21.06,95,35.36398
-36.415,355,36.242354
-22.465,500,37.318159
-23.555,500,38.435089
-20.515,500,39.539489
-26.305,195,39.930588
-38.55,386,40.907719
-24.535,500,42.082749
-19.18,500,43.22915
-23.19,500,44.40513
-21.525,500,45.543093
-18.265,117,45.762853
-18.82,500,46.859154
-21.185,500,48.020774
-42.215,482,49.21415
-20.55,500,50.451969
-16.625,500,51.561577
-36.285,493,52.785346
-31.865,335,53.477536
-20.69,500,54.636679
-18.415,500,55.791501
-17.12,500,56.931042
-20.8,136,57.382398
-37.695,479,58.502441
-17.5,500,59.653031
-16.14,500,60.807454
-15.615,500,61.737697
-19.455,500,62.87602
-14.05,500,63.978164
-15.775,500,65.145177
-14.96,500,66.34332
-17.2,500,67.487545
-17.315,500,68.636572
-19.95,159,69.147955
-16.63,500,70.24433
-19.255,118,70.479163
-17.94,500,71.612559
-18.165,500,72.776935
-15.755,500,73.948826
-13.305,500,75.137527
-14.17,500,76.448452
-13.92,500,77.578466
-19.535,114,77.8362
-15.73,500,79.068519
-16.51,500,80.210362
-16.71,500,81.381265
-15.425,500,82.564369
-12.55,500,83.727191
-19.095,500,84.895512
-15.92,500,86.080388
-38.105,486,87.198864
-17.16,500,88.359735
-16.05,500,89.616451
-19.86,107,89.858379
-14.475,500,90.994151
-13.05,500,92.138798
-14.195,500,93.353341
-13.995,500,94.511719
-15.94,500,95.648195
-17.03,500,96.8034
-14.665,500,97.933617
-12.23,500,99.079348
-12.72,500,100.205101
-14.345,500,101.298794
-13.65,500,102.436721
-14.045,500,103.588986
-16.565,500,104.751697
-23.655,154,105.060622
-14.355,500,106.220829
-16.15,500,107.354022
-14.08,500,108.498262
-17.655,500,109.680088
-13.695,500,110.944197
-11.335,500,112.080274
-13.97,500,113.269594
