#{"t_start": 1779731974.9677029, "env_id": "None"}
r,l,t
-43.55,389,1.279746
-22.525,91,1.504328
-32.6,500,2.496798
-29.585,500,4.668265
-31.945,267,5.182718
-23.87,133,5.435471
-33.07,236,6.854362
-27.185,172,7.207537
-31.28,250,7.667755
-30.465,500,8.708153
-36.92,341,10.197418
-31.15,500,11.289383
-30.525,500,12.951384
-32.54,500,13.877267
-31.435,500,15.502039
-29.215,500,16.456899
-29.4,500,18.177769
-31.405,500,19.171555
-30.95,500,20.968739
-30.5,500,21.998181
-30.115,500,23.718192
-28.235,500,24.702051
-29.145,500,25.465844
-26.035,500,25.780755
-27.66,500,26.523084
-26.965,500,26.883426
-19.74,81,26.965822
-26.98,206,27.127716
-28.415,500,28.037772
-39.625,383,28.664581
-29.36,500,30.010549
-28.785,500,30.740271
-27.76,202,31.01013
-26.9,500,31.954316
-25.675,500,32.32909
-26.895,500,33.008347
-28.165,500,33.36059
-23.995,500,33.98485
-27.45,500,34.334231
-25.765,500,34.954923
-24.27,500,35.291088
-23.735,500,35.91844
-23.55,500,36.477377
-25.855,500,37.677228
-20.36,500,38.204189
-26.0,500,38.808509
-23.7,500,39.139205
-19.675,500,39.752912
-21.98,500,40.09192
-21.81,162,40.208846
-36.99,399,40.775227
-19.82,500,41.114444
-19.71,500,41.733312
-18.31,500,42.07882
-21.435,500,42.691648
-17.645,500,43.037325
-20.285,500,44.213016
-16.795,500,44.556987
-16.85,500,45.526454
-14.565,500,46.443704
-19.475,500,48.135989
-15.895,500,49.005256
-19.42,65,49.123218
-16.115,500,50.777545
-16.655,500,51.685361
-17.45,500,53.287467
-16.15,500,54.227992
-18.37,500,55.926072
-16.135,500,56.817998
-16.02,500,58.417353
-15.215,500,59.305104
-16.125,500,60.907416
-13.86,500,61.806632
-14.805,500,63.453414
-23.23,232,63.87815
-15.545,500,64.818444
-18.755,500,66.529682
-19.12,88,66.696298
-15.48,500,67.663478
-32.205,463,69.310807
-23.785,227,69.77195
-20.22,123,69.984535
-26.31,326,70.59916
-19.75,108,71.524084
-27.675,298,72.066982
-14.135,500,72.993165
-19.745,113,73.239352
-15.405,500,74.843336
-15.36,500,75.736109
-15.46,500,77.459164
-14.965,500,78.365129
-14.255,500,80.143887
-16.495,500,81.044595
-13.945,500,82.673404
-15.26,500,83.591768
-14.95,500,85.244606
-13.75,500,86.138531
-25.315,285,87.399557
-13.78,500,88.284471
-15.17,500,89.882391
-15.665,500,90.822589
-14.105,500,92.458951
-14.41,500,93.380102
-14.375,500,95.092955
-12.75,500,96.005919
-15.87,500,97.647185
-14.36,500,98.569161
-17.25,500,100.249066
-14.36,500,101.148901
-14.82,500,102.769952
-13.17,500,103.739804
-12.625,500,104.655363
-24.42,224,105.805115
-28.705,385,106.516702
