#{"t_start": 1779732754.929086, "env_id": "None"}
r,l,t
-38.625,326,0.678648
-30.29,500,1.571823
-28.24,196,1.927942
-32.71,500,3.640413
-31.79,500,4.551183
-29.215,500,6.1811
-32.09,500,7.096247
-29.59,500,8.717046
-43.815,427,9.491959
-28.16,500,11.134902
-28.695,500,12.039748
-29.11,500,13.732687
-29.265,500,14.666945
-30.17,500,16.320601
-26.83,500,17.280114
-25.77,500,18.900782
-27.235,500,19.813815
-38.045,389,21.295493
-25.605,500,22.224028
-25.425,500,23.911611
-26.38,500,24.842152
-25.55,500,26.515635
-25.42,500,27.560144
-26.64,500,29.302482
-24.13,500,30.301996
-23.405,500,32.053121
-26.495,251,32.536326
-24.91,188,32.904369
-20.6,500,33.815984
-21.415,500,35.460146
-21.385,500,36.40652
-21.29,500,38.249755
-22.1,500,39.263903
-22.525,500,40.946816
-20.22,500,41.930733
-20.9,500,43.64071
-18.935,500,44.62284
-19.255,500,46.36216
-18.515,500,47.375145
-22.95,187,48.501318
-18.01,500,49.459492
-18.055,500,51.157995
-28.345,315,51.75429
-15.56,500,52.714235
-19.505,500,54.38942
-16.62,500,55.303372
-27.905,336,56.695129
-17.79,500,57.615638
-17.06,500,59.262303
-17.165,500,60.16881
-19.15,500,61.877025
-17.02,500,62.786124
-17.435,500,64.440636
-15.105,500,65.501317
-14.495,500,67.189231
-13.155,500,68.14504
-15.49,500,69.074347
-29.76,431,70.654109
-22.045,238,71.14471
-25.63,341,71.79737
-21.29,209,73.11165
-28.93,310,73.711065
-28.615,387,74.457033
-14.405,500,76.11216
-14.855,500,77.054959
-24.92,270,78.291948
-19.475,110,78.512532
-14.2,500,79.462243
-28.755,443,81.110075
-24.06,294,81.737152
-17.38,500,82.789275
-16.66,500,84.492525
-15.165,500,85.402451
-15.195,500,87.273275
-15.44,500,88.235077
-14.275,500,89.813853
-13.03,500,90.713513
-16.22,500,92.347253
-14.305,500,93.259416
-15.78,500,94.868757
-15.29,500,95.794815
-17.335,500,97.470712
-17.645,500,98.405037
-22.82,218,98.817686
-14.595,500,100.475405
-14.12,500,101.400838
-15.295,500,103.080303
-14.345,500,104.023564
-17.26,500,105.738108
-14.24,500,106.667813
-15.295,500,108.321725
-15.895,500,109.25759
-14.515,500,110.902919
-21.54,169,111.206325
-12.685,500,112.814281
-13.875,500,113.779492
-13.18,500,115.433645
-15.045,500,116.371197
-12.23,500,117.274141
-12.75,500,118.904351
-26.725,358,119.560767
-13.765,500,121.235073
-12.975,500,122.163248
-13.59,500,123.873596
-12.44,500,124.785556
-12.055,500,126.496915
-13.58,500,127.443936
-10.855,500,129.158423
-20.585,157,129.456954
-22.635,211,129.822627
-24.18,243,130.263638
