#{"t_start": 1779733090.4650397, "env_id": "None"}
r,l,t
-30.7,218,0.539689
-21.355,83,0.919468
-47.43,418,2.24415
-32.02,500,4.022922
-31.575,500,4.928891
-30.75,500,6.557735
-29.525,500,7.508084
-29.94,500,9.193675
-32.725,500,9.716005
-40.6,383,10.255594
-21.54,89,10.339791
-29.18,217,10.522295
-26.495,206,10.663145
-20.815,43,10.691645
-29.06,225,10.846891
-27.295,186,10.978902
-21.52,73,11.340979
-34.925,269,11.611641
-24.83,161,11.728214
-22.425,109,11.806224
-22.13,137,11.908461
-23.5,134,12.005915
-30.555,223,12.449691
-51.565,498,12.970618
-28.31,500,14.402426
-28.105,500,15.049641
-31.015,252,15.424449
-21.755,88,15.48461
-27.815,500,16.156204
-27.06,500,16.496672
-26.64,500,17.25213
-28.205,500,17.603136
-26.44,500,18.370411
-26.62,500,18.724573
-44.885,486,19.435135
-23.86,500,20.001823
-24.035,500,21.15499
-23.345,500,21.784836
-25.055,500,22.724743
-24.49,500,23.05935
-24.21,500,23.653659
-23.03,500,24.016853
-23.825,500,24.614933
-21.535,500,25.274217
-20.55,500,26.965687
-20.88,500,27.866624
-37.34,480,29.403074
-21.24,500,30.318088
-29.195,297,30.859721
-20.915,500,32.509924
-19.48,500,33.427132
-19.275,500,35.024022
-16.65,500,35.956884
-19.625,500,37.588946
-18.705,500,38.518013
-18.055,500,40.168577
-30.185,366,40.836551
-19.805,500,42.4426
-19.005,500,43.33617
-16.87,500,44.954888
-17.4,500,45.838163
-16.84,500,47.425091
-18.785,500,48.335806
-16.83,500,49.967814
-16.46,500,50.92346
-17.375,500,52.508047
-15.49,500,53.420451
-20.77,135,53.669306
-17.585,500,55.263665
-18.16,500,56.154186
-16.13,500,57.737707
-17.0,500,58.621663
-19.24,500,60.215377
-17.93,500,61.104393
-16.465,500,62.714002
-14.72,500,63.620973
-16.875,500,65.209904
-19.025,500,66.113073
-17.205,500,67.782625
-13.875,500,68.712964
-13.86,500,69.623758
-13.345,500,71.333137
-17.545,500,72.351716
-24.515,299,73.736298
-14.51,500,74.64626
-15.07,500,76.344209
-14.115,500,77.170857
-13.79,500,78.844773
-14.46,500,79.74288
-15.43,500,81.381007
-15.51,500,82.27856
-17.325,500,83.885997
-18.48,500,84.798146
-29.27,437,86.28353
-15.36,500,87.150854
-16.685,500,88.728852
-20.4,153,89.011533
-18.545,500,89.931815
-15.365,500,91.593469
-15.27,500,92.588477
-16.805,500,94.224481
-12.105,500,95.247613
-25.31,340,95.88731
-14.655,500,97.508695
-15.84,500,98.415674
-15.4,500,100.072717
-12.465,500,101.621593
-29.555,381,103.001654
-20.885,176,103.314616
-23.425,256,103.78927
-23.315,216,104.188472
-13.365,500,105.80834
-12.775,500,106.716504
-16.655,500,108.451083
-17.545,500,109.385991
-24.585,263,110.6581
-13.555,500,111.655571
