#{"t_start": 1779732089.2707987, "env_id": "None"}
r,l,t
-32.06,234,0.438479
-23.45,120,0.661272
-36.275,338,1.354334
-30.785,219,1.761856
-48.625,463,3.32031
-31.78,500,4.230916
-33.135,500,5.856063
-31.425,500,6.769238
-30.255,500,8.419082
-31.22,500,9.330822
-32.675,273,10.587363
-44.92,408,11.391418
-49.04,500,12.331963
-29.645,500,13.952915
-46.325,463,14.81163
-29.465,500,16.404125
-30.405,500,17.330285
-28.355,500,18.919978
-28.48,500,19.839756
-27.52,500,21.472594
-27.65,500,22.357773
-25.09,500,23.938075
-26.705,500,24.820706
-26.23,500,26.42065
-25.05,500,27.287427
-38.95,365,28.618418
-37.07,350,29.226701
-26.63,500,30.123486
-25.555,500,31.687673
-38.915,393,32.382728
-27.63,500,33.92274
-39.27,416,34.701991
-20.33,79,34.855628
-25.91,500,36.43453
-23.955,500,37.320273
-25.685,500,38.947557
-26.065,500,39.849912
-24.11,500,41.469397
-22.82,500,42.398115
-23.375,500,44.053469
-24.315,500,44.947827
-23.285,500,46.562364
-23.255,500,47.470302
-21.63,500,49.093348
-19.655,500,49.98693
-19.58,500,51.788315
-19.235,500,52.778408
-21.825,500,54.468879
-20.895,500,55.372791
-20.655,500,56.990865
-35.17,329,57.602423
-18.19,500,58.513952
-17.33,500,60.111665
-20.385,500,61.031344
-25.58,259,62.200215
-16.535,500,63.088852
-26.13,228,63.496897
-15.88,500,65.074827
-31.29,372,65.740143
-19.105,500,67.376461
-17.51,500,68.286538
-17.66,500,69.832721
-17.53,500,70.738081
-20.52,500,72.350538
-17.665,500,73.246011
-18.47,500,74.837449
-16.655,500,75.762628
-22.75,154,76.055157
-17.485,500,77.725793
-16.66,500,78.632271
-31.4,378,80.018868
-19.18,500,80.896719
-16.9,500,82.492181
-17.53,500,83.402479
-15.39,500,84.983093
-19.075,58,85.098334
-27.76,308,85.640369
-21.32,159,85.924297
-20.465,500,87.555033
-30.225,352,88.1838
-28.425,316,88.75583
-14.64,500,90.328252
-15.84,500,91.219472
-16.06,500,92.799059
-17.73,500,93.705967
-15.7,500,95.292722
-15.43,500,96.167665
-15.065,500,97.750188
-14.46,500,98.649469
-14.84,500,100.233871
-14.135,500,101.119003
-19.07,67,101.242265
-19.395,109,101.446805
-14.355,500,103.017356
-21.0,183,103.351709
-14.42,500,104.259686
-11.935,500,105.831992
-29.985,437,106.569481
-13.93,500,108.212873
-15.915,500,109.189674
-13.45,500,111.008444
-13.505,500,112.251924
-16.69,500,114.916869
-21.75,205,115.304684
-15.19,500,116.245151
-24.065,308,117.538792
-27.115,383,118.227188
-13.885,500,119.775194
-15.875,500,120.662883
-12.9,500,122.262977
-13.775,500,123.160242
-15.81,500,124.76142
-14.25,500,125.706549
