#{"t_start": 1779733544.3796484, "env_id": "None"}
r,l,t
-32.1,500,0.938097
-22.275,94,1.291116
-34.605,296,1.817281
-25.145,128,2.05087
-40.555,377,2.919665
-34.38,265,3.565967
-31.21,500,4.618333
-29.055,500,5.792732
-37.55,344,6.53834
-22.15,111,6.91888
-30.495,259,7.395983
-30.26,500,8.471577
-44.635,417,9.428204
-24.675,144,9.692782
-30.715,231,10.265117
-31.41,500,11.346487
-41.7,375,12.030077
-43.87,412,12.974917
-32.45,500,14.056176
-29.065,500,15.148944
-21.37,94,15.324928
-36.555,282,16.011193
-28.705,170,16.314466
-30.735,500,17.384013
-23.32,99,17.562854
-29.715,500,18.619323
-47.635,450,19.616737
-33.35,500,20.696545
-30.875,500,21.778174
-46.015,429,22.71602
-29.765,500,23.824559
-32.505,500,24.93686
-28.57,500,26.026737
-30.105,500,27.146194
-27.99,500,28.211819
-26.41,500,29.286154
-28.155,500,30.35053
-26.26,175,30.672522
-24.335,500,31.746179
-24.59,500,32.822827
-22.525,500,33.890054
-23.555,500,35.007028
-24.795,500,36.088729
-20.035,102,36.272427
-22.49,500,37.348258
-19.6,57,37.456777
-22.495,500,38.559778
-34.36,388,39.466925
-22.44,500,40.523765
-23.41,142,40.785334
-21.615,147,41.27694
-22.59,144,41.556812
-18.49,500,42.611115
-20.665,500,43.701284
-20.655,117,43.932377
-26.885,500,45.002158
-22.785,500,46.082489
-23.625,500,47.188015
-20.76,500,48.274316
-18.58,500,49.354801
-17.98,500,50.434318
-19.025,500,51.498698
-12.685,500,52.554469
-14.985,500,53.61911
-18.33,78,53.767432
-19.265,143,54.02599
-19.325,59,54.137644
-19.9,69,54.430973
-16.535,500,55.328448
-23.46,158,55.804693
-19.65,101,55.985768
-15.835,500,57.051723
-30.93,472,58.048535
-14.06,500,59.090425
-15.315,500,60.161398
-15.975,500,61.199062
-11.955,500,62.220586
-16.925,500,63.271887
-16.29,500,64.311218
-22.17,197,64.651235
-20.95,146,64.92189
-16.195,500,65.977751
-21.395,127,66.398861
-12.475,500,67.42832
-19.385,500,68.520658
-12.4,500,69.573969
-13.42,500,70.637588
-12.175,500,71.701905
-11.96,500,72.74582
-12.02,500,73.656975
-25.325,237,74.283684
-12.945,500,75.401212
-20.12,154,75.684927
-25.18,265,76.336185
-21.195,129,76.579744
-19.535,128,76.826605
-30.14,287,77.538805
-27.31,258,77.997065
-14.955,500,79.08109
-19.44,75,79.224288
-25.725,290,79.915073
-18.845,42,79.991598
-14.23,500,81.061644
-17.955,83,81.218063
-11.915,500,82.276631
-17.555,500,83.359516
-23.135,219,83.936634
-12.075,500,85.013821
-10.815,500,86.082889
-16.425,90,86.261515
-14.82,500,87.331634
-15.045,500,88.413967
-17.84,500,89.49699
-13.65,500,90.558279
-19.38,146,90.839668
-18.165,500,91.928673
-14.38,500,92.989296
-13.04,500,94.075239
-18.74,500,95.149578
-13.73,500,96.275695
-13.04,500,97.386829
-17.49,500,98.477301
-26.33,285,99.010198
-14.84,500,100.083574
-17.025,500,101.167239
-19.305,211,101.742754
-11.46,500,102.832635
-20.115,134,103.080971
-14.46,500,104.130546
-14.445,500,105.193354
-24.95,215,105.584687
-28.65,266,106.260937
-11.68,500,107.353624
-22.185,227,107.759511
