#{"t_start": 1779731769.6276755, "env_id": "None"}
r,l,t
-26.005,130,0.368013
-32.585,251,0.82997
-39.285,367,1.612923
-40.545,402,2.370689
-38.15,316,2.968207
-25.975,137,3.226839
-28.71,500,8.335685
-31.575,500,9.643595
-33.08,500,10.686641
-31.495,500,11.667731
-32.375,500,17.220059
-28.975,500,18.299704
-31.515,500,19.204393
-27.67,500,20.19622
-31.46,500,21.134439
-36.975,297,25.572134
-29.45,500,26.794649
-31.52,500,27.837151
-30.56,500,28.821666
-27.215,500,33.866087
-31.11,500,34.791747
-29.935,500,35.718755
-30.92,500,36.644208
-30.26,500,40.828322
-29.58,500,41.742011
-27.565,214,42.131047
-30.635,500,43.051774
-38.31,343,43.699594
-37.345,323,44.332062
-28.005,500,48.677763
-27.85,500,49.727144
-33.635,302,50.345927
-28.53,500,51.296326
-29.51,500,56.351105
-29.31,500,57.36575
-26.865,500,58.34776
-28.08,500,59.40457
-20.86,85,59.570374
-26.33,500,63.894772
-28.305,500,64.973448
-38.45,365,65.836951
-28.575,500,66.779519
-42.02,436,72.007869
-24.81,500,73.235436
-27.0,500,74.264325
-26.215,500,75.806805
-28.275,500,76.741859
-35.1,375,81.468044
-27.065,500,82.56605
-27.145,500,83.620602
-28.75,500,84.929996
-39.95,379,91.193249
-26.25,500,92.555811
-31.255,500,93.689071
-27.58,500,95.115834
-29.855,500,100.324702
-25.26,500,101.539259
-28.455,500,103.29601
-26.12,500,104.747242
-25.03,500,109.604826
-24.17,500,110.531249
-24.03,500,111.461446
-25.03,500,112.377286
-23.13,500,116.540567
-24.58,500,117.52847
-24.99,500,118.425708
-23.33,500,119.29125
-23.05,500,123.435569
-23.66,500,124.377783
-21.8,500,125.289298
-26.77,500,126.167717
-24.405,500,127.0501
-22.23,500,131.683441
-22.5,500,132.592791
-22.485,500,133.511292
-23.615,500,134.40656
-24.405,500,138.913693
-21.54,500,139.944273
-21.54,500,141.061896
-22.72,500,141.99507
-21.965,500,146.324279
-19.97,500,147.238647
-20.98,500,148.151252
-20.85,500,149.059698
-19.53,500,153.344025
-19.03,500,154.231815
-21.2,500,155.144655
-19.58,500,156.026435
-20.49,500,160.250443
-18.13,500,161.141246
-18.81,500,162.306453
-19.84,500,163.339158
-19.12,500,168.0831
-19.58,500,168.988913
-18.38,500,169.856946
-20.97,500,170.767467
-17.295,500,174.923775
-17.575,500,175.801912
-19.04,500,176.677095
-17.435,500,177.591387
-19.61,500,182.117026
-21.665,500,183.030594
-17.22,500,183.886069
-18.93,500,184.796737
-18.74,500,189.821568
-19.74,500,190.991208
-18.15,500,191.965701
-17.61,500,193.126915
