#{"t_start": 1779733452.668303, "env_id": "None"}
r,l,t
-25.675,145,0.296904
-31.285,500,1.450747
-49.41,499,2.022692
-32.22,271,2.200362
-19.835,78,2.24818
-36.06,307,2.523563
-29.83,500,2.980306
-36.145,296,3.246084
-23.315,156,3.370417
-23.06,110,3.469245
-30.19,500,3.924867
-22.33,90,3.985367
-31.18,500,4.408995
-28.725,500,4.817712
-32.555,271,5.135339
-23.485,150,5.251429
-25.485,185,5.376311
-23.0,154,5.549388
-22.675,101,5.633468
-29.625,500,6.072273
-28.56,222,6.230612
-20.41,45,6.259586
-30.425,225,6.492874
-25.87,500,6.909223
-28.155,223,7.073597
-22.44,111,7.161843
-36.185,335,7.486189
-26.655,500,7.90612
-27.66,500,8.337608
-34.18,295,8.617189
-23.575,500,9.037787
-22.295,500,9.464742
-23.945,500,9.920184
-23.73,500,10.340015
-26.385,500,10.802147
-24.99,500,11.641499
-25.335,500,12.799497
-27.535,500,14.011687
-28.67,500,15.211975
-25.085,500,16.307727
-27.32,500,17.475468
-26.605,500,18.636427
-26.69,500,19.735442
-27.835,500,20.831689
-25.575,500,21.943278
-21.19,101,22.129622
-21.985,500,23.276609
-25.945,500,24.462298
-24.0,500,25.573615
-20.26,500,26.663617
-22.19,118,27.082604
-22.65,500,28.280335
-32.765,377,29.004694
-23.295,500,30.186357
-21.09,500,31.308305
-24.435,500,32.413149
-21.735,165,32.921186
-20.455,500,34.063604
-23.41,500,35.175143
-23.675,500,36.295679
-16.77,500,37.259727
-23.005,500,38.418194
-22.395,500,39.618421
-19.445,500,40.816352
-20.82,500,41.951581
-19.51,500,43.006668
-20.895,500,44.190843
-16.755,500,45.336346
-15.095,500,46.592468
-19.135,69,46.728183
-21.88,500,47.991433
-19.46,500,49.114157
-17.585,500,50.253318
-19.0,500,51.348463
-17.615,500,52.434112
-16.64,500,53.562956
-13.795,500,54.681281
-13.235,500,55.796784
-15.83,500,56.898726
-14.51,500,57.986973
-31.78,370,58.835636
-19.36,100,59.025413
-16.065,500,60.048146
-19.92,500,60.551278
-12.9,500,61.0175
-32.01,449,61.416839
-15.19,500,61.843288
-14.405,500,62.279258
-14.39,500,62.700233
-17.095,500,63.131418
-14.405,500,63.568442
-13.56,500,64.020235
-13.675,500,64.477333
-15.485,500,64.930963
-12.625,500,65.35144
-14.65,500,65.76458
-10.39,500,66.206237
-25.875,243,66.417425
-20.265,125,66.501769
-15.53,500,66.959291
-21.99,500,67.404467
-19.8,500,67.916445
-13.96,500,68.375641
-14.455,500,69.27412
-14.995,500,70.421879
-23.88,290,71.303665
-15.225,500,72.401229
-16.47,500,73.495033
-14.105,500,74.584002
-15.615,500,75.676368
-13.0,500,76.765328
-12.795,500,77.844222
-13.34,500,78.907838
-13.09,500,79.99491
-14.02,500,81.088914
-13.395,500,82.141982
-12.73,500,83.235476
-15.35,500,84.305994
-14.545,500,85.219742
