#{"t_start": 1779734008.9927459, "env_id": "None"}
r,l,t
-51.89,484,0.907985
-35.665,500,2.129325
-38.975,339,2.995755
-31.6,500,4.162493
-28.56,500,5.311203
-19.995,78,5.472619
-32.46,500,6.580786
-34.025,256,7.225886
-25.37,143,7.492105
-25.07,162,7.786243
-20.725,58,7.895338
-45.865,452,8.932932
-31.82,500,10.09036
-39.695,354,10.962304
-24.37,141,11.224264
-19.365,53,11.328132
-33.19,500,12.429613
-26.485,178,12.966525
-22.345,99,13.183083
-29.055,500,14.394195
-22.805,123,14.632893
-22.755,134,14.889029
-30.05,500,16.016537
-22.085,140,16.473198
-26.345,185,16.846403
-28.8,500,17.969701
-26.74,190,18.326271
-29.435,500,19.470066
-27.04,500,20.606057
-22.415,123,20.850748
-28.7,500,22.077338
-27.025,500,23.235715
-26.975,500,24.378932
-24.875,500,25.616654
-26.985,500,26.77209
-23.48,500,27.914751
-24.94,500,29.096723
-21.245,500,30.228259
-22.95,500,31.352702
-23.735,500,32.481931
-25.08,187,33.029598
-28.385,500,34.201147
-26.855,500,35.46917
-25.51,500,36.641167
-21.81,500,37.607395
-23.07,500,38.739936
-21.645,500,39.901849
-21.18,500,41.053564
-19.03,500,42.191037
-22.32,500,43.340152
-21.845,500,44.505935
-21.84,169,45.029806
-21.615,500,46.197324
-17.89,500,47.378572
-22.815,170,47.707907
-20.655,500,48.873429
-21.025,500,50.034277
-43.575,495,51.213228
-32.61,332,52.054183
-21.465,500,53.283777
-18.95,500,54.238936
-19.685,137,54.707416
-18.365,500,55.83696
-16.61,500,56.979516
-16.13,500,58.125297
-15.98,500,59.249616
-15.28,500,60.409898
-14.8,500,61.55652
-15.975,500,62.710106
-16.35,500,63.84971
-14.8,500,64.987012
-18.545,500,66.133844
-14.8,500,67.103958
-20.11,500,68.292033
-16.275,500,69.437155
-16.73,500,70.553535
-29.715,369,71.420992
-15.38,500,72.588019
-14.485,500,73.755648
-15.97,500,74.919966
-12.97,500,75.988383
-13.525,500,77.127845
-13.245,500,78.232827
-37.535,460,79.31614
-16.09,500,80.427709
-20.69,142,80.846277
-19.925,500,81.967647
-14.17,500,83.10111
-19.195,107,83.312941
-20.185,500,84.453311
-16.435,500,85.586732
-14.11,500,86.688459
-19.585,129,87.117262
-15.25,500,88.075651
-13.435,500,89.20949
-16.25,500,90.314235
-17.62,500,91.398352
-13.95,500,92.505838
-16.64,500,93.604089
-13.565,500,94.732831
-12.295,500,95.865536
-14.46,500,96.982097
-11.645,500,98.085445
-31.585,491,99.200213
-14.475,500,100.350681
-32.39,424,101.32801
-12.345,500,102.432988
-14.27,500,103.562324
-13.465,500,104.656178
-16.38,500,105.75126
-12.48,500,106.869874
-12.395,500,107.981413
-12.21,500,109.083829
-12.425,500,110.210441
-17.865,113,110.419454
-27.815,327,111.193944
-14.78,500,112.291699
-10.55,500,113.368958
