#{"t_start": 1779731395.084736, "env_id": "None"}
r,l,t
-28.265,204,0.216047
-23.865,115,0.319582
-41.85,381,0.725676
-35.725,292,1.029363
-30.38,500,1.556798
-30.245,234,1.784332
-20.69,73,1.874764
-39.21,323,3.35765
-31.85,500,3.934039
-29.155,500,4.481445
-32.615,500,5.030206
-23.11,132,5.175157
-31.545,500,6.951557
-30.93,500,7.434567
-30.21,500,7.92876
-27.035,186,8.105462
-31.51,500,8.599795
-30.52,500,10.423479
-29.47,500,10.896493
-31.825,500,11.398043
-30.755,500,11.900462
-28.335,500,13.631102
-28.38,500,14.085864
-28.205,500,14.647944
-31.92,500,15.214293
-29.07,500,16.904754
-27.85,500,17.406631
-28.525,500,17.981679
-32.035,500,18.582624
-28.14,500,20.296897
-27.17,500,20.846082
-27.33,500,21.403185
-29.81,500,21.958598
-42.89,427,23.608196
-26.74,500,24.088026
-29.02,500,24.587277
-31.655,500,25.151789
-28.86,500,25.753379
-24.675,500,27.380723
-46.31,443,27.835123
-31.53,500,28.344561
-24.35,500,28.928183
-31.5,500,30.782547
-27.125,500,31.25572
-21.345,100,31.367948
-30.385,500,31.916159
-27.995,500,32.455037
-24.695,500,34.059303
-24.59,500,34.569932
-24.745,500,35.050145
-31.575,500,35.531741
-25.23,500,37.25086
-34.465,316,37.59362
-44.87,489,38.086023
-24.965,500,38.714796
-29.37,500,40.323638
-24.155,500,40.785815
-23.64,500,41.256852
-28.98,225,41.471839
-32.46,267,41.73604
-27.465,500,43.397978
-27.385,500,43.86052
-22.555,500,44.367684
-19.83,500,44.917131
-23.89,500,47.566858
-26.07,500,48.107416
-21.735,500,48.598925
-41.13,443,49.069526
-24.96,500,49.603905
-21.98,500,51.640142
-24.295,500,52.120744
-23.12,500,52.641952
-28.84,500,53.14642
-25.75,500,55.719356
-22.05,500,56.212798
-25.745,500,56.653612
-22.745,500,57.131723
-24.475,500,59.003597
-20.55,500,59.516567
-25.715,500,59.983026
-23.85,500,60.470861
-23.525,500,62.628616
-19.59,500,63.284367
-16.945,500,63.844248
-19.89,500,64.415556
-19.13,500,67.181485
-21.775,500,67.703316
-19.62,500,68.2163
-23.94,500,68.74861
-17.595,500,73.924533
-24.735,148,74.617303
-16.29,500,76.362799
-21.79,500,77.829368
-33.985,392,79.027827
-22.52,162,79.556907
-16.35,500,85.13686
-24.345,500,86.658661
-22.265,500,88.37905
-31.95,436,89.835984
-20.0,500,96.626055
-14.25,500,98.422072
-15.715,500,100.05825
-17.305,500,101.615474
-16.62,500,106.931302
-19.82,123,107.342577
-13.92,500,109.222782
-18.44,500,110.283129
-19.065,500,111.28314
-13.285,500,116.468065
-13.375,500,117.591527
-16.14,500,118.503552
-27.575,323,119.27046
-21.95,166,119.595138
