#{"t_start": 1779730743.2212238, "env_id": "None"}
r,l,t
-30.18,500,0.884234
-29.53,500,1.627742
-32.205,307,2.074935
-28.285,173,2.344784
-30.67,500,2.980845
-36.11,335,5.86332
-33.07,212,6.151284
-30.705,500,6.869794
-21.88,86,7.032601
-35.765,275,7.504827
-40.725,371,7.9618
-20.165,80,8.062182
-31.17,500,9.904088
-42.845,397,10.612789
-27.51,500,11.37185
-47.69,468,12.067693
-28.56,500,18.707841
-28.76,500,20.596503
-30.115,500,22.431882
-48.03,461,24.231441
-21.915,114,24.720086
-28.63,500,31.040659
-44.85,428,32.007794
-28.66,500,33.071972
-28.345,500,34.281022
-26.835,500,35.356654
-31.525,258,41.314589
-28.54,500,42.483836
-29.16,207,42.949065
-30.355,500,44.211352
-29.205,500,45.308455
-28.73,500,51.662025
-26.625,500,52.743536
-34.65,315,53.509464
-31.535,500,54.58351
-28.1,500,60.450776
-29.645,500,61.145384
-27.0,500,61.738546
-28.365,500,62.383803
-37.345,322,62.732181
-27.545,500,64.515677
-28.66,500,65.136081
-26.0,500,65.77722
-28.56,500,66.395419
-27.9,500,68.197062
-30.495,500,68.795376
-26.195,500,69.349837
-25.955,500,69.884702
-27.1,500,71.71353
-25.475,500,72.288814
-27.42,500,72.922058
-27.685,500,73.430571
-23.205,500,75.228143
-25.985,500,75.77957
-25.555,500,76.328034
-26.8,500,76.975795
-25.57,500,79.713988
-22.965,500,80.335166
-23.77,500,80.996898
-24.15,500,81.64341
-23.8,500,83.5314
-25.66,500,84.140188
-22.33,500,84.809838
-26.285,500,85.484798
-25.35,500,87.187748
-22.0,500,87.793122
-24.9,500,88.377286
-21.535,126,88.531485
-24.565,500,89.225391
-23.025,500,91.077389
-22.36,500,91.630844
-25.16,500,92.155616
-23.995,500,92.750763
-25.795,500,94.504065
-32.535,289,94.79498
-23.4,500,95.487736
-19.545,500,96.142631
-41.875,468,96.77782
-25.325,500,98.50406
-20.695,500,99.247491
-29.16,247,99.507828
-21.775,500,100.152797
-23.095,130,100.286865
-22.04,500,102.073409
-27.61,262,102.394347
-20.805,500,102.9611
-20.18,500,103.475501
-21.895,500,104.046434
-19.1,500,105.896206
-19.52,500,106.597675
-24.26,500,107.244938
-19.06,500,107.759245
-20.425,500,109.625428
-17.87,500,110.160448
-18.535,500,110.756179
-20.075,500,111.453298
-21.25,500,113.34447
-21.0,500,113.872874
-21.03,500,114.342454
-17.685,500,115.014514
-21.23,500,116.860671
-21.805,500,117.473198
-18.905,500,118.033912
-18.26,500,118.597434
-19.255,500,120.556221
-21.575,100,120.652481
-18.245,500,121.214129
-17.71,500,121.825595
-22.985,187,122.083698
-21.225,187,122.345226
-23.69,193,122.601135
-29.86,416,127.548402
-25.315,237,128.080281
-17.16,500,129.158337
-17.035,500,130.241565
-25.215,248,130.782261
