#{"t_start": 1779731310.2676108, "env_id": "None"}
r,l,t
-26.815,189,0.210964
-40.345,373,0.567715
-37.895,334,0.895005
-30.455,500,1.485562
-32.585,500,1.993576
-29.92,500,3.695403
-27.04,183,3.89597
-32.495,249,4.144512
-31.895,237,4.402783
-31.565,500,4.966237
-31.8,500,5.58797
-28.36,192,7.00529
-29.73,500,7.497586
-31.515,249,7.757265
-30.59,500,8.256905
-29.57,500,8.763058
-29.66,500,10.391329
-30.67,500,10.936447
-30.445,500,11.475907
-31.845,500,11.944512
-29.425,500,13.786898
-23.93,131,13.901732
-49.415,480,14.363092
-29.245,500,14.832371
-30.525,500,15.304298
-28.485,500,17.031636
-28.78,500,17.47771
-32.3,500,17.940168
-48.745,478,18.371504
-29.2,500,20.178852
-30.035,500,20.625159
-28.78,500,21.087972
-27.295,500,21.53629
-27.495,500,23.238871
-28.18,500,23.664814
-30.1,500,24.114587
-28.715,500,24.554865
-27.555,500,26.151373
-27.235,500,26.597298
-28.84,500,27.043129
-29.17,500,27.505864
-25.17,500,29.317985
-27.435,500,29.826538
-26.935,500,30.299432
-25.65,500,30.78642
-26.555,500,32.569584
-27.355,500,33.078894
-27.595,500,33.63951
-26.89,500,34.127853
-22.1,500,35.811837
-29.435,297,36.111593
-30.675,500,36.646032
-26.23,220,36.879093
-26.855,211,37.095883
-22.905,181,37.27406
-28.38,500,37.77811
-27.345,500,39.320369
-27.11,500,39.973523
-24.745,500,40.498111
-40.15,412,40.945943
-21.905,500,42.43235
-21.82,500,42.921436
-24.545,500,43.460022
-25.155,183,43.670295
-22.88,500,44.316561
-23.845,500,45.906178
-40.005,480,46.403325
-24.625,500,46.892235
-34.12,375,47.274185
-21.605,500,48.917217
-21.235,500,49.385489
-25.745,500,49.990193
-27.945,202,50.212687
-27.565,196,50.43846
-24.44,500,52.039464
-27.54,246,52.260217
-23.625,500,52.75425
-23.715,166,52.923747
-22.55,500,53.403714
-23.7,500,53.896822
-28.21,500,55.467929
-26.23,227,55.73254
-21.24,500,56.230323
-22.595,500,56.876724
-26.06,500,58.625432
-21.04,500,59.162184
-25.005,500,59.655259
-19.3,500,60.188277
-27.96,213,60.416834
-22.77,187,60.605923
-19.37,500,62.142198
-20.26,500,62.63102
-18.575,500,63.119
-18.92,500,63.609562
-24.62,500,65.245835
-23.115,500,65.854097
-21.91,500,66.381337
-26.065,500,66.924429
-26.905,500,68.568029
-23.805,500,69.136892
-22.975,500,69.768329
-22.04,500,70.408598
-20.615,500,72.061982
-17.83,500,72.570682
-20.035,500,73.07806
-24.49,500,73.578395
-20.495,500,75.131273
-25.99,276,75.397815
-18.04,500,75.883541
-19.1,500,76.334596
-17.705,500,77.909554
-19.83,500,78.427368
-23.12,500,78.890344
-25.28,500,79.566078
-32.595,311,79.948865
