#{"t_start": 1779732353.9491136, "env_id": "None"}
r,l,t
-32.405,230,0.453621
-32.005,248,0.884877
-35.105,295,1.411358
-31.21,500,3.009154
-25.05,157,3.292285
-31.925,500,4.187338
-34.915,287,5.400724
-21.8,100,5.582534
-36.465,320,6.143107
-30.485,500,7.740005
-31.99,500,8.647781
-30.345,500,10.236042
-32.06,500,11.12006
-37.13,305,11.660259
-29.655,500,13.260405
-31.81,500,14.317808
-32.155,500,15.969666
-32.31,500,16.878101
-27.47,500,18.471516
-30.11,500,19.389094
-31.14,500,20.977651
-28.575,500,21.891288
-27.445,201,22.26247
-29.485,500,23.832449
-29.245,500,24.735255
-27.605,500,26.302869
-26.805,500,27.20255
-24.085,500,28.824583
-33.645,317,29.404005
-25.21,500,31.025266
-22.62,500,31.94356
-23.23,500,33.586103
-24.73,500,34.450314
-23.345,500,36.024437
-20.965,500,36.931905
-38.585,448,38.449351
-23.275,500,39.353382
-21.48,500,40.917471
-22.345,500,41.839707
-23.725,500,42.724551
-17.28,500,44.343439
-20.095,500,45.247152
-19.805,500,46.844923
-18.125,500,47.763704
-16.82,500,49.357306
-19.74,500,50.236446
-18.97,500,51.811765
-16.615,500,52.69635
-17.29,500,54.305305
-20.66,500,55.191147
-33.79,411,56.642981
-19.86,500,57.548913
-16.365,500,59.147825
-18.615,500,60.040354
-18.76,500,61.635166
-22.08,222,62.033695
-16.04,500,62.927967
-16.86,500,64.509525
-15.705,500,65.372565
-16.23,500,67.022132
-19.625,500,67.982496
-18.01,500,69.600908
-17.19,500,70.539201
-17.225,500,72.145452
-20.035,500,73.052817
-15.32,500,74.641787
-15.26,500,75.543899
-14.815,500,77.155431
-14.26,500,78.051215
-17.075,500,79.666112
-12.95,500,80.577697
-15.165,500,82.194581
-15.335,500,83.090722
-27.89,345,84.447051
-12.18,500,85.341266
-14.35,500,86.954373
-17.17,500,87.869996
-14.0,500,89.478128
-11.605,500,90.397616
-15.57,500,92.033984
-17.4,500,92.939637
-13.77,500,93.860212
-14.625,500,95.449898
-12.27,500,96.348763
-13.46,500,98.006052
-15.38,500,98.862184
-25.75,337,100.167285
-13.44,500,101.071276
-23.33,248,102.218647
-12.24,500,103.123374
-14.455,500,104.038603
-11.105,500,105.636643
-14.52,500,106.546623
-23.3,290,107.797216
-11.21,500,108.674867
-28.455,371,110.033664
-13.835,500,110.942445
-15.675,500,112.531847
-10.765,500,113.431536
-15.235,500,115.023841
-15.015,500,115.933657
-15.56,500,117.542822
-14.525,500,118.450288
-19.8,127,118.687231
-15.415,500,120.276009
-17.35,500,121.177392
-15.255,500,122.761066
-12.485,500,123.652278
