#{"t_start": 1779733374.125672, "env_id": "None"}
r,l,t
-30.18,500,0.396056
-29.3,219,0.653789
-25.435,126,0.743304
-39.72,372,1.107815
-33.635,286,1.335287
-29.74,500,1.735682
-24.02,146,1.891237
-29.15,210,2.037741
-27.35,190,2.144425
-24.815,140,2.292855
-39.885,342,2.530967
-19.955,83,2.661523
-35.965,300,2.895215
-41.085,348,3.204216
-20.33,62,3.252431
-31.51,500,3.679581
-29.005,244,3.84694
-33.54,500,4.282706
-40.17,351,4.608762
-34.59,284,4.868027
-37.2,329,5.1141
-31.47,500,5.553153
-29.885,500,5.995261
-30.6,500,6.415944
-31.425,277,6.719951
-29.665,500,7.151758
-31.355,500,7.616887
-29.795,500,8.057812
-28.93,500,8.516811
-27.705,500,9.089267
-27.865,500,9.557514
-27.57,500,10.220449
-29.105,500,10.927646
-27.935,500,11.691268
-26.745,500,12.164525
-31.72,279,12.422891
-38.45,395,12.824793
-25.965,500,13.253872
-19.365,91,13.350376
-28.85,500,13.949132
-30.5,500,14.773578
-29.675,500,15.244382
-26.25,500,15.718749
-29.32,500,16.137301
-28.01,500,16.602118
-28.52,500,17.319561
-25.98,500,18.10129
-22.16,500,18.809132
-26.925,500,19.231313
-23.2,500,19.847997
-22.07,500,20.721308
-23.575,500,21.161798
-21.91,500,21.633792
-22.79,500,22.103022
-24.755,500,22.567032
-37.02,455,23.39307
-19.37,500,24.170496
-23.755,500,24.857982
-20.91,500,25.419236
-21.015,500,26.199271
-18.85,56,26.420208
-34.16,385,26.899543
-18.575,500,27.404295
-21.895,500,27.906894
-21.86,500,28.475315
-23.065,500,29.121196
-22.81,500,29.909881
-27.775,226,30.342745
-20.14,500,31.024587
-21.985,195,31.218476
-19.69,500,31.693174
-18.895,500,32.609108
-19.855,500,33.967708
-19.235,89,34.133379
-24.66,500,35.19307
-18.23,500,36.278263
-19.795,500,37.364978
-17.025,500,38.442736
-18.39,500,39.49538
-21.21,102,39.691407
-30.1,312,40.433359
-23.08,500,40.932526
-17.77,500,41.392478
-18.15,500,41.880261
-23.225,500,42.320533
-19.32,500,42.75517
-17.74,500,43.197397
-20.46,500,43.680295
-21.46,500,44.275771
-19.95,500,44.868443
-17.65,500,45.624375
-17.53,500,46.090657
-16.86,500,47.336724
-17.32,500,48.490886
-33.005,452,49.491432
-17.81,500,50.563038
-17.52,500,51.628452
-17.74,500,52.725004
-18.68,500,53.763055
-19.19,500,54.821754
-19.41,500,55.890249
-16.44,500,56.955372
-17.31,500,57.98943
-20.99,500,59.071243
-16.22,500,60.136513
-17.58,500,61.204219
-19.755,500,62.253758
-18.46,500,63.347068
-18.125,500,64.418975
-19.7,500,65.497772
-32.78,365,66.346439
-18.2,500,67.507699
-18.85,500,68.661052
-16.76,500,69.773725
-18.36,500,70.866326
