#{"t_start": 1779730434.618826, "env_id": "None"}
r,l,t
-30.78,245,1.823111
-25.89,120,1.937037
-20.5,65,1.995723
-34.22,234,2.222736
-27.595,160,2.377193
-44.895,428,2.77941
-41.4,407,3.144835
-42.03,402,4.652694
-41.725,355,4.997961
-31.585,500,5.46828
-31.29,500,5.939742
-28.285,500,6.422591
-30.845,500,8.001349
-41.16,387,8.352079
-32.805,500,8.821181
-29.45,500,9.260403
-31.9,500,10.757126
-30.22,500,11.185777
-29.17,500,11.649769
-31.03,500,12.129163
-28.9,500,14.041195
-31.735,500,14.808043
-27.44,500,15.312879
-29.085,500,15.86215
-30.38,500,17.631319
-26.655,500,18.124962
-29.2,500,18.673216
-29.115,500,19.190124
-30.295,500,20.934795
-27.41,500,21.474023
-26.995,500,22.1436
-28.06,500,22.682533
-28.745,500,23.225867
-25.34,500,24.973949
-28.165,500,25.525648
-30.27,500,26.065239
-29.57,500,26.640514
-30.56,253,28.199459
-24.465,500,28.673188
-27.8,500,29.176116
-28.92,500,29.717633
-25.89,500,31.262775
-27.32,500,31.756659
-25.295,500,32.362126
-26.43,188,32.574331
-24.745,500,33.040515
-24.905,500,34.695548
-25.81,500,35.281053
-23.11,500,35.8272
-22.98,500,36.270705
-23.73,500,37.866907
-20.765,500,38.345145
-22.24,500,38.831135
-27.34,500,39.309941
-22.735,500,40.900581
-21.38,500,41.352681
-22.08,500,41.82611
-22.1,500,42.282803
-25.06,500,43.897595
-23.55,500,44.348721
-23.81,500,45.014342
-21.32,500,45.693789
-23.255,500,47.406304
-21.385,500,47.991336
-18.755,500,48.579584
-26.89,500,49.061567
-22.49,500,51.229324
-18.765,500,53.021641
-20.305,500,54.692306
-18.395,500,56.274954
-21.565,500,57.466025
-18.09,500,62.830705
-18.34,500,63.903153
-18.8,500,64.978574
-20.715,500,66.000549
-18.41,500,71.913463
-19.52,500,72.905023
-19.54,84,73.06762
-18.455,500,74.387833
-19.925,500,75.741498
-19.92,500,81.857554
-19.435,500,82.801943
-19.645,500,83.923999
-21.055,144,84.21806
-21.4,500,90.214959
-29.275,321,91.120429
-22.22,500,92.619524
-18.32,500,93.963781
-18.45,500,95.070222
-20.36,500,100.716457
-18.375,500,101.765399
-21.005,500,102.794173
-20.73,500,104.007141
-21.425,500,109.66445
-17.54,500,111.078978
-17.69,500,112.327318
-18.72,500,113.369723
-19.05,500,119.484117
-22.125,500,120.53677
-18.7,500,122.874177
-18.24,500,124.379533
-15.94,500,129.756931
-17.855,500,130.470844
-16.295,500,131.156327
-18.94,500,131.892484
-17.74,500,133.85193
-17.155,500,134.491393
-17.67,500,135.145594
-18.31,500,135.759956
