#{"t_start": 1779734129.5416934, "env_id": "None"}
r,l,t
-26.005,130,0.266052
-32.585,251,0.707972
-30.355,500,1.790548
-32.01,500,2.882311
-40.38,355,3.700769
-41.995,405,4.610826
-30.325,500,5.685065
-31.885,500,6.756293
-36.295,299,7.299858
-28.975,500,8.376368
-40.55,390,9.263257
-29.125,500,10.350508
-35.77,345,11.192192
-27.84,223,11.609968
-24.45,158,11.902521
-25.85,137,12.33294
-28.045,230,12.766827
-26.885,500,13.862986
-34.405,298,14.598515
-22.925,139,14.868695
-24.595,500,15.957349
-28.845,500,17.038774
-24.49,500,18.130627
-26.02,500,19.208095
-25.355,500,20.282248
-24.87,500,21.347241
-21.35,500,22.412847
-31.31,339,23.029237
-20.91,500,24.117352
-28.19,289,24.82147
-17.32,500,25.908795
-29.57,336,26.710349
-23.46,146,26.982563
-32.435,412,27.892891
-28.64,254,28.345077
-16.29,500,29.380358
-18.585,500,30.4642
-35.565,383,31.3334
-19.36,500,32.390854
-17.835,500,33.445716
-17.29,500,34.508852
-13.085,500,35.594393
-20.825,178,35.918628
-26.355,283,36.609987
-14.94,500,37.682717
-29.26,473,38.704478
-13.325,500,39.760226
-28.27,375,40.450688
-21.775,243,41.070972
-15.73,500,42.158985
-14.675,500,43.254108
-14.315,500,44.308018
-15.27,500,45.392195
-20.79,500,46.471203
-16.14,500,47.54411
-18.39,500,48.617464
-19.045,500,49.696596
-14.53,500,50.754133
-27.68,375,51.424115
-26.59,359,52.257209
-34.21,480,53.282976
-17.71,500,54.330027
-14.73,500,55.413738
-16.18,500,56.505186
-18.36,500,57.585969
-14.985,500,58.656176
-12.94,500,59.739859
-13.605,500,60.823228
-15.435,500,61.889758
-28.18,465,62.885938
-12.2,500,63.93708
-10.405,500,64.997864
-16.015,500,66.068491
-24.075,327,66.662076
-28.635,440,67.617215
-28.05,384,68.482709
-13.835,500,69.547242
-16.37,500,70.624104
-13.0,500,71.715876
-13.565,500,72.801614
-26.785,378,73.470182
-12.46,500,74.558694
-35.14,496,75.634874
-13.65,500,76.71894
-15.515,500,77.79872
-14.21,500,78.885324
-26.935,275,79.551359
-13.32,500,80.629496
-12.905,500,81.714255
-28.785,312,82.280504
-17.985,500,83.350905
-15.42,500,84.414719
-13.39,500,85.496316
-24.22,292,86.197216
-15.985,500,87.241136
-14.93,500,88.308698
-17.02,500,89.371554
-15.18,500,90.443826
-13.645,500,91.534331
-13.505,500,92.622954
-11.915,500,93.701868
-28.55,379,94.538241
-14.935,500,95.399023
-26.505,295,96.108202
-12.765,500,97.193467
-21.195,217,97.587075
-12.245,500,98.656451
-10.845,500,99.726351
-12.825,500,100.805056
-13.63,500,101.886027
-14.67,500,102.97003
-28.57,448,104.01929
-22.415,215,104.593328
-10.625,500,105.665978
-22.29,181,106.000436
-14.245,500,107.076631
