#{"t_start": 1779733773.0124502, "env_id": "None"}
r,l,t
-26.815,189,0.387173
-40.655,377,1.225835
-36.48,311,1.780169
-32.04,500,2.869536
-31.325,500,3.95666
-27.445,500,5.047466
-29.19,223,5.619424
-25.79,140,5.893225
-21.78,78,6.039859
-20.06,40,6.110948
-18.785,41,6.185383
-25.41,144,6.447205
-22.875,91,6.784357
-20.95,70,6.920169
-33.085,261,7.386798
-27.04,165,7.860326
-33.65,272,8.370713
-22.865,119,8.584809
-20.71,77,8.892578
-22.895,97,9.077755
-26.075,162,9.375445
-22.135,84,9.522384
-27.835,193,10.04791
-22.975,117,10.278309
-24.575,147,10.545008
-21.375,86,10.697799
-30.135,500,11.796422
-28.76,500,12.889721
-25.035,183,13.3993
-27.77,180,13.723397
-26.11,500,14.800715
-28.08,500,15.882211
-26.57,204,16.271795
-27.845,500,17.320468
-26.39,500,18.405198
-26.085,500,19.487782
-26.215,500,20.571975
-21.145,500,21.647732
-29.725,247,22.262264
-25.09,187,22.597821
-28.985,227,23.002045
-42.45,475,24.018514
-23.285,186,24.53499
-24.675,188,24.87472
-19.74,500,25.923064
-31.815,306,26.634822
-30.715,362,27.285849
-23.045,160,27.745703
-36.45,464,28.687457
-19.74,500,29.743982
-27.26,500,30.822428
-22.955,500,31.888311
-22.25,500,32.810735
-17.8,500,33.923856
-15.84,500,35.006904
-20.605,500,36.099364
-18.7,500,37.184854
-22.865,187,37.698065
-18.38,90,37.870866
-19.09,500,38.973392
-15.79,500,40.016212
-30.985,481,41.05912
-18.33,500,42.144676
-19.665,99,42.323131
-29.695,388,43.271899
-15.91,500,44.364468
-24.035,201,44.741143
-23.985,223,45.31284
-28.535,375,45.999439
-17.935,500,47.089257
-13.295,500,48.17709
-19.865,86,48.334609
-29.81,371,49.198779
-26.42,267,49.865914
-17.615,500,50.952839
-18.515,500,51.99356
-19.34,500,53.061868
-17.585,500,54.108922
-18.235,500,55.196541
-18.51,500,56.258519
-18.845,500,57.17885
-16.21,500,58.26641
-18.415,500,59.337726
-17.51,500,60.419532
-36.075,449,61.430204
-17.585,500,62.716778
-15.645,500,63.999327
-17.655,500,65.123579
-14.99,500,66.232529
-22.41,183,66.75295
-28.41,327,67.360913
-31.12,365,68.230871
-14.4,500,69.33674
-22.655,178,69.665973
-31.05,380,70.55001
-16.435,500,71.672189
-16.895,500,72.810961
-13.355,500,73.955586
-14.065,500,75.040338
-15.0,500,76.113545
-14.755,500,77.211299
-17.05,500,78.331767
-14.485,500,79.427618
-16.155,500,80.510576
-13.515,500,81.565609
-17.8,500,82.658309
-17.7,500,83.747954
-19.3,500,84.829744
-14.835,500,85.921371
-12.455,500,86.944815
-13.79,500,88.033568
-12.93,500,89.109197
-16.06,500,90.177982
-19.645,500,91.24987
-12.01,500,92.318683
-15.45,500,93.246951
-13.99,500,94.30047
-14.35,500,95.370361
-11.83,500,96.442832
-14.59,500,97.50171
-12.485,500,98.585444
-12.675,500,99.693129
-11.825,500,100.879665
-28.305,410,101.817423
-12.175,500,102.895288
-11.325,500,103.973413
-13.065,500,105.043194
-17.115,500,106.076045
-11.325,500,107.156835
-11.22,500,108.241842
