#{"t_start": 1779732618.9920745, "env_id": "None"}
r,l,t
-29.38,183,0.361836
-31.2,500,1.281722
-38.675,376,2.681875
-25.515,146,2.956445
-37.645,312,3.508763
-25.915,158,3.798504
-26.32,176,4.107302
-25.155,146,4.378416
-27.91,178,5.378706
-30.085,216,5.760981
-22.22,96,5.934593
-29.67,500,6.816629
-30.92,500,8.373844
-33.2,257,8.847367
-28.89,500,10.405637
-30.89,500,11.294922
-31.16,500,12.865795
-29.18,500,13.765702
-27.86,500,15.33456
-28.115,500,16.224799
-27.805,500,17.829775
-21.26,89,17.990727
-26.95,500,18.899159
-32.055,248,19.346352
-43.37,436,20.81111
-27.58,500,21.717088
-27.95,500,23.323443
-26.245,500,24.213068
-27.74,500,25.799284
-27.81,500,26.748816
-26.145,500,28.504643
-28.01,500,29.429201
-25.045,500,30.999881
-24.86,500,31.891399
-23.59,500,33.477714
-21.83,500,34.40242
-20.49,500,35.990109
-25.07,500,36.896785
-33.705,375,38.290383
-21.35,500,39.204774
-21.61,500,40.797357
-21.825,500,41.752319
-21.365,500,42.660301
-21.92,500,44.287284
-20.295,500,45.207702
-21.57,500,46.825078
-16.15,500,47.748229
-24.22,200,48.83231
-19.575,500,49.712962
-18.81,500,51.36307
-19.07,500,52.295854
-16.615,500,53.956392
-20.55,500,54.905315
-18.145,500,56.567805
-19.28,500,57.496284
-22.13,158,57.785177
-21.145,148,58.066087
-17.17,500,59.733081
-19.46,500,60.684721
-17.53,500,62.400578
-16.16,500,63.37513
-16.6,500,65.087226
-17.105,500,66.093586
-15.14,500,67.896587
-15.78,500,68.877725
-15.88,500,70.610132
-17.81,500,71.498626
-16.755,500,73.155471
-24.615,255,73.650589
-18.96,500,74.582583
-19.71,500,76.244873
-17.28,500,77.162058
-15.29,500,78.847547
-16.52,500,79.802958
-17.145,500,81.523021
-15.62,500,82.502105
-15.015,500,84.235326
-13.33,500,85.150111
-14.575,500,86.808387
-14.445,500,87.803104
-13.635,500,89.551303
-21.855,185,89.895482
-14.345,500,90.814233
-14.255,500,92.573282
-15.415,500,93.633487
-26.865,331,95.207536
-14.885,500,96.142972
-13.435,500,97.808583
-13.67,500,98.847829
-13.71,500,100.628683
-14.995,500,101.568839
-12.295,500,103.283065
-13.295,500,104.186668
-13.155,500,105.875104
-13.705,500,106.807194
-22.895,212,107.197982
-14.17,500,108.839175
-12.185,500,109.760917
-14.955,500,111.496979
-16.285,500,112.441829
-22.985,188,113.479875
-13.49,500,114.468495
-14.015,500,116.139374
-12.335,500,117.053467
-16.705,500,117.950551
-15.065,500,119.648968
-13.64,500,120.604524
-12.355,500,122.294202
-14.61,500,123.25069
-13.65,500,124.941315
-13.575,500,125.848514
-12.74,500,127.529412
-12.81,500,128.460569
