episode,reward,length
301,28.77,75
302,26.214999999999996,122
303,25.884999999999998,125
304,-19.99,54
305,25.189999999999998,183
306,-18.48,51
307,-19.755,77
308,28.52,81
309,-18.94,26
310,-15.045000000000005,107
311,26.554999999999996,117
312,28.679999999999996,76
313,-18.419999999999998,66
314,-31.335000000000004,500
315,26.83,119
316,27.389999999999997,101
317,28.249999999999996,72
318,28.249999999999996,107
319,-18.12,39
320,28.689999999999998,76
321,-17.709999999999997,53
322,27.909999999999997,79
323,-17.055000000000003,99
324,25.435,164
325,-16.179999999999996,53
326,28.229999999999997,94
327,28.099999999999998,87
328,-21.459999999999997,117
329,27.279999999999998,106
330,26.509999999999998,103
331,-18.09,29
332,-28.405,197
333,-18.54,29
334,-15.095000000000008,105
335,28.97,69
336,-24.104999999999997,142
337,27.9,91
338,27.33,116
339,-13.370000000000005,79
340,-21.68,88
341,27.804999999999996,104
342,26.974999999999998,120
343,27.979999999999997,121
344,-18.479999999999997,90
345,-18.32,24
346,-21.67,143
347,24.749999999999996,151
348,-18.68,135
349,-17.51,31
350,28.95,69
351,-17.5,35
352,-17.219999999999995,98
353,-19.18,56
354,-16.820000000000004,93
355,27.139999999999997,107
356,28.189999999999998,85
357,24.374999999999996,164
358,28.544999999999998,112
359,-34.98,356
360,-19.085,45
361,28.24,96
362,-19.23,48
363,-17.659999999999997,41
364,23.959999999999997,178
365,27.679999999999996,93
366,-21.55,198
367,-13.925000000000008,90
368,-16.4,101
369,-18.07,27
370,-13.320000000000006,74
371,-17.72,37
372,22.395,161
373,26.994999999999997,118
374,-21.17,91
375,-17.544999999999998,85
376,-18.31,47
377,28.854999999999997,95
378,28.689999999999998,97
379,-32.275000000000006,500
380,28.865,78
381,19.88,224
382,28.584999999999997,85
383,-19.759999999999998,120
384,-18.849999999999998,61
385,28.349999999999998,82
386,-34.29,500
387,27.13,107
388,-19.19,96
389,28.009999999999998,94
390,28.365,81
391,28.939999999999998,81
392,-18.525,73
393,25.979999999999997,136
394,-16.279999999999998,84
395,-20.2,172
396,-12.625000000000007,80
397,28.029999999999998,88
398,-19.11,81
399,21.145,196
400,-17.970000000000002,22
401,-18.09,38
402,-18.119999999999997,19
403,26.119999999999997,129
404,-17.575000000000003,148
405,28.369999999999997,91
406,-20.295,214
407,-24.11,155
408,-15.87,60
409,28.615,94
410,-18.93,66
411,28.22,99
412,29.009999999999998,68
413,-19.564999999999998,109
414,-16.955,103
415,-25.83,158
416,-21.68,116
417,-18.18,79
418,-26.139999999999997,234
419,28.99,82
420,-16.389999999999997,39
421,25.77,126
422,-15.520000000000005,78
423,23.7,168
424,-18.299999999999997,125
425,-16.854999999999997,53
426,-16.459999999999997,48
427,-16.43,49
428,-17.16,102
429,27.97,93
430,28.694999999999997,84
431,-17.74,54
432,-17.85,43
433,-16.430000000000007,66
434,26.845,126
435,27.74,95
436,-23.11,137
437,-24.744999999999997,130
438,-15.809999999999999,65
439,27.034999999999997,116
440,-19.07,51
441,-15.099999999999998,68
442,27.479999999999997,80
443,28.99,86
444,-15.06,75
445,-17.735,36
446,-15.045000000000005,90
447,28.804999999999996,80
448,27.139999999999997,103
449,28.474999999999998,84
450,-19.5,45
451,27.99,93
452,-19.055,24
453,28.825,94
454,28.874999999999996,72
455,-15.459999999999997,35
456,-20.165,64
457,28.654999999999998,91
458,28.419999999999998,83
459,28.889999999999997,70
460,-17.345,84
461,-17.599999999999998,36
462,-19.27,112
463,26.72,113
464,-16.169999999999998,33
465,25.4,143
466,28.255,88
467,27.205,123
468,-19.715,54
469,-18.36,22
470,26.665,103
471,-19.544999999999998,109
472,-17.609999999999996,60
473,27.814999999999998,98
474,25.83,145
475,-19.009999999999998,15
476,28.345,77
477,25.124999999999996,148
478,26.904999999999998,108
479,28.02,91
480,27.15,106
481,27.439999999999998,79
482,23.334999999999997,179
483,25.185,126
484,-20.89,74
485,-19.48,32
486,26.924999999999997,118
487,25.784999999999997,138
488,-19.99,47
489,27.939999999999998,92
490,28.189999999999998,84
491,-19.65,85
492,-18.25,37
493,-19.625,73
494,-18.91,141
495,-16.450000000000003,107
496,-14.060000000000006,70
497,-17.639999999999997,77
498,27.779999999999998,96
499,27.54,99
500,-17.88,84
501,-17.7,45
502,24.95,141
503,-17.289999999999996,56
504,28.88,71
505,28.054999999999996,117
506,28.58,79
507,-17.34,47
508,28.74,71
509,-17.529999999999998,20
510,-17.444999999999997,46
511,-16.31000000000001,113
512,-24.47,132
513,-16.514999999999997,98
514,-19.169999999999998,49
515,28.244999999999997,77
516,-17.22,41
517,-17.8,31
518,-21.63,88
519,28.369999999999997,81
520,-17.13,48
521,26.729999999999997,148
522,27.38,114
523,-44.03,473
524,-16.889999999999997,29
525,27.314999999999998,105
526,23.169999999999998,175
527,-19.075,79
528,28.409999999999997,83
529,27.839999999999996,93
530,28.679999999999996,76
531,-20.915,98
532,24.349999999999998,145
533,27.47,102
534,-19.26,28
535,-18.549999999999997,20
536,-19.029999999999998,23
537,-18.169999999999998,35
538,27.919999999999998,113
539,28.45,79
540,-18.31,79
541,-16.244999999999997,76
542,-15.765,87
543,-23.52,148
544,28.744999999999997,88
545,-18.139999999999997,21
546,-12.27500000000001,100
547,-18.385,44
548,-20.45,114
549,-14.625000000000007,91
550,-18.51,146
551,-19.384999999999998,49
552,26.275,118
553,26.294999999999998,125
554,-19.035,28
555,-14.75000000000001,121
556,-17.6,31
557,-16.839999999999996,107
558,-17.264999999999997,68
559,-18.57000000000001,191
560,27.775,97
561,-17.395,50
562,27.099999999999998,97
563,-17.599999999999998,64
564,-15.520000000000003,99
565,-17.729999999999997,25
566,-18.3,70
567,-18.44,29
568,27.974999999999998,92
569,-15.050000000000011,145
570,-18.24,19
571,-12.83000000000001,96
572,-18.049999999999997,33
573,26.689999999999998,108
574,-18.299999999999997,28
575,-18.34,75
576,27.86,92
577,28.349999999999998,83
578,26.249999999999996,92
579,-19.505,71
580,-17.89,53
581,27.939999999999998,93
582,-22.125,90
583,-17.56,20
584,27.189999999999998,110
585,-19.259999999999998,111
586,-15.809999999999997,76
587,-22.384999999999998,101
588,27.869999999999997,94
589,9.619999999999997,326
590,-17.56,42
591,-16.93,56
592,-19.134999999999998,42
593,28.33,83
594,-14.20000000000001,128
595,-22.455,97
596,-16.485000000000003,108
597,-15.91000000000001,156
598,-16.11000000000001,147
599,-11.07500000000001,76
600,-17.31000000000001,154
601,-16.789999999999996,70
602,-17.74,100
603,-17.93,52
604,-16.849999999999998,28
605,-16.99500000000001,154
606,-16.005000000000003,90
607,-15.89,51
608,-20.279999999999998,63
609,-12.770000000000007,87
610,-13.82500000000001,127
611,-18.54,81
612,-17.415,47
613,-18.63,74
614,27.009999999999998,117
615,-13.85000000000001,126
616,27.869999999999997,92
617,-20.49,88
618,27.97,94
619,-18.845,96
620,-18.61,59
621,-18.46,68
622,-13.13000000000001,115
623,-19.63,79
624,-16.419999999999995,84
625,-14.340000000000009,118
626,-19.619999999999997,164
627,28.13,86
628,-17.43,25
629,-19.229999999999997,51
630,29.049999999999997,67
631,-13.020000000000008,93
632,-18.15,60
633,24.52,152
634,-12.470000000000011,97
635,-14.090000000000009,109
636,-18.620000000000008,189
637,27.889999999999997,100
638,-17.445,43
639,-18.54,50
640,-18.009999999999998,20
641,-18.145,43
642,-13.07000000000001,102
643,26.389999999999997,125
644,-17.090000000000003,142
645,28.794999999999998,91
646,-16.98,31
647,23.83,168
648,-19.625,130
649,27.209999999999997,115
650,-18.66,56
651,-19.535,71
652,-19.82,54
653,-15.35000000000001,159
654,-19.65,55
655,-17.749999999999996,52
656,27.36,105
657,-22.13,93
658,-15.590000000000002,66
659,-18.849999999999998,26
660,28.749999999999996,79
661,26.549999999999997,121
662,25.499999999999996,144
663,28.52,80
664,28.659999999999997,96
665,-17.009999999999998,71
666,25.7,103
667,28.13,86
668,-14.410000000000007,106
669,-16.68000000000001,157
670,-19.56,44
671,-18.68,50
672,26.979999999999997,103
673,-19.74,54
674,24.984999999999996,170
675,-15.350000000000009,110
676,25.31,144
677,-21.43,160
678,28.959999999999997,70
679,-17.159999999999997,34
680,-15.990000000000009,148
681,-14.770000000000007,114
682,-19.585,81
683,-19.29,94
684,-20.305,84
685,-18.095,79
686,21.33,194
687,-15.079999999999998,81
688,-15.950000000000001,82
689,-17.77,51
690,26.33,122
691,28.04,80
692,26.63,129
693,27.06,125
694,28.939999999999998,70
695,-17.819999999999997,31
696,-18.724999999999998,33
697,27.435,93
698,26.794999999999998,110
699,-12.420000000000009,93
700,28.439999999999998,80
701,-14.330000000000007,118
702,-17.029999999999998,32
703,-11.83000000000001,81
704,-19.505,42
705,-16.65,44
706,28.49,78
707,28.029999999999998,90
708,-24.44,202
709,-17.29000000000001,190
710,25.54,131
711,-16.31000000000001,167
712,-15.559999999999997,61
713,-16.249999999999996,35
714,27.54,99
715,-19.75,54
716,-17.145,111
717,-18.740000000000002,57
718,-18.65,59
719,-16.18,74
720,-17.330000000000013,171
721,-31.280000000000012,399
722,-18.13,29
723,-15.525,83
724,-18.135,44
725,-18.86,18
726,-16.819999999999997,24
727,28.429999999999996,81
728,27.374999999999996,104
729,29.04,68
730,-17.669999999999998,30
731,-19.52,78
732,-18.619999999999997,28
733,-12.270000000000008,92
734,20.839999999999996,269
735,27.009999999999998,111
736,-16.64000000000001,500
737,28.08,104
738,-14.840000000000009,137
739,-16.349999999999998,37
740,27.099999999999998,80
741,15.839999999999998,370
742,28.33,85
743,14.824999999999998,317
744,-18.619999999999997,26
745,-17.65,71
746,-15.130000000000003,75
747,28.849999999999998,72
748,-16.7,55
749,-17.735,47
750,-17.18,32
751,27.83,75
752,-18.68,30
753,-17.52,32
754,26.97,118
755,-17.93,30
756,-17.75,27
757,-18.264999999999997,27
758,23.93,144
759,26.47,148
760,28.63,70
761,27.209999999999997,113
762,25.339999999999996,132
763,-16.72000000000001,141
764,-17.7,37
765,-18.0,43
766,27.389999999999997,105
767,-17.54,41
768,-18.900000000000002,34
769,29.009999999999998,68
770,26.639999999999997,108
771,27.88,77
772,28.029999999999998,90
773,28.31,85
774,-13.790000000000001,63
775,23.874999999999996,172
776,26.874999999999996,110
777,27.749999999999996,94
778,28.95,69
779,26.819999999999997,154
780,-14.805000000000003,85
781,-15.230000000000002,93
782,-16.819999999999997,71
783,28.61,78
784,28.409999999999997,96
785,-16.475000000000005,109
786,-19.055,126
787,27.759999999999998,90
788,-22.58,116
789,-18.18,35
790,-16.669999999999998,46
791,27.97,92
792,-19.2,55
793,-19.34,46
794,-18.819999999999997,66
795,27.554999999999996,101
796,-19.095,39
797,28.049999999999997,89
798,-17.479999999999997,59
799,-20.3,64
800,-16.739999999999995,55
801,-18.32,34
802,-12.455000000000009,93
803,28.49,83
804,-17.38,45
805,27.119999999999997,116
806,-15.24,83
807,26.525,125
808,-13.790000000000003,62
809,28.569999999999997,79
810,-15.815000000000003,107
811,27.349999999999998,107
812,-16.979999999999997,30
813,27.549999999999997,102
814,-16.235000000000003,97
815,-17.959999999999997,30
816,-17.939999999999998,40
817,28.735,79
818,28.4,91
819,28.589999999999996,77
820,-19.2,52
821,28.575,82
822,29.124999999999996,82
823,-18.589999999999996,102
824,-19.18,26
825,-19.0,36
826,-17.53,119
827,27.159999999999997,91
828,28.83,72
829,28.349999999999998,84
830,-20.209999999999997,92
831,26.939999999999998,114
832,27.679999999999996,89
833,-17.38,48
834,-23.480000000000004,215
835,-21.475,71
836,-16.175,54
837,26.505,122
838,-16.134999999999998,54
839,-18.919999999999998,36
840,-20.095,62
841,-17.799999999999997,26
842,28.45,79
843,28.549999999999997,79
844,28.4,81
845,-18.47,45
846,25.019999999999996,129
847,26.979999999999997,105
848,27.45,108
849,-19.62,96
850,28.929999999999996,70
851,27.604999999999997,103
852,27.9,91
853,28.499999999999996,96
854,27.58,99
855,-17.275000000000006,109
856,23.919999999999998,165
857,-18.759999999999998,48
858,-18.299999999999997,34
859,-18.77,65
860,-17.49,42
861,28.38,84
862,-15.020000000000003,78
863,27.849999999999998,94
864,26.979999999999997,112
865,-17.564999999999998,75
866,-20.805,96
867,-13.56500000000001,120
868,-18.595,51
869,-12.640000000000006,76
870,29.049999999999997,67
871,27.83,93
872,20.599999999999998,241
873,28.889999999999997,71
874,28.65,77
875,-17.88,49
876,-19.18,133
877,28.249999999999996,86
878,-13.52000000000001,120
879,26.395,136
880,-15.03,65
881,28.049999999999997,89
882,26.089999999999996,136
883,-16.11,88
884,-21.1,67
885,27.209999999999997,101
886,27.779999999999998,97
887,-15.670000000000002,108
888,-17.369999999999997,57
889,-21.12,107
890,26.54,139
891,-17.939999999999998,44
892,28.54,76
893,25.659999999999997,148
894,26.38,134
895,27.119999999999997,101
896,-18.9,39
897,-18.509999999999998,85
898,16.499999999999996,286
899,-17.169999999999998,41
900,25.904999999999998,138
901,28.669999999999998,76
902,28.13,87
903,-18.759999999999998,42
904,-15.609999999999998,80
905,-17.72500000000001,181
906,-14.44000000000001,149
907,-19.47,56
908,27.45,102
909,27.7,100
910,27.189999999999998,106
911,26.249999999999996,119
912,24.589999999999996,132
913,26.909999999999997,128
914,-20.200000000000003,48
915,-18.59,33
916,-15.270000000000005,73
917,-17.025,102
918,26.374999999999996,118
919,-18.459999999999997,22
920,28.529999999999998,78
921,-16.339999999999996,57
922,26.819999999999997,114
923,26.369999999999997,133
924,-19.099999999999998,45
925,27.2,104
926,-14.17000000000001,137
927,-27.805,210
928,-20.48,154
929,-16.15000000000001,112
930,-18.41,57
931,-13.840000000000002,62
932,-14.72,66
933,26.369999999999997,132
934,28.529999999999998,80
935,27.83,93
936,27.459999999999997,97
937,27.99,93
938,26.45,118
939,26.134999999999998,117
940,-34.465,275
941,-18.38,84
942,-21.089999999999996,143
943,-18.45,104
944,28.749999999999996,74
945,27.88,94
946,-15.844999999999997,69
947,28.47,81
948,-15.62,81
949,-17.549999999999997,82
950,-16.799999999999997,46
951,-19.154999999999998,34
952,-15.909999999999997,69
953,27.929999999999996,95
954,26.509999999999998,115
955,-19.36,50
956,24.084999999999997,175
957,28.49,80
958,27.395,109
959,-18.734999999999996,57
