#{"t_start": 1779733286.9971323, "env_id": "None"}
r,l,t
-44.3,439,0.958587
-29.965,208,1.577473
-43.21,379,2.550594
-30.995,500,3.53822
-28.785,500,4.706366
-23.965,130,5.18871
-32.965,268,5.691972
-30.425,500,6.851594
-33.065,262,7.555368
-36.045,281,8.066672
-29.38,500,9.160901
-41.71,376,10.051216
-38.93,324,10.829158
-29.78,500,11.904855
-29.075,500,12.983759
-29.395,195,13.34721
-31.325,500,14.443918
-28.475,500,15.537426
-27.725,500,16.640746
-29.12,223,17.051522
-36.835,361,17.903844
-27.515,500,19.077448
-34.5,343,19.871671
-28.37,500,20.952065
-28.615,500,21.980603
-27.835,500,23.06208
-27.265,500,24.165484
-27.625,500,25.246384
-19.55,128,25.50382
-26.73,500,26.578228
-23.66,187,26.893465
-41.315,433,27.873085
-22.695,500,28.987965
-24.735,183,29.33409
-26.385,500,30.414774
-22.23,500,31.219762
-23.93,168,31.443131
-20.395,88,31.537667
-25.56,189,31.705457
-21.875,100,31.776775
-20.195,84,31.9133
-29.34,283,32.168343
-19.64,81,32.22594
-25.685,500,32.666489
-19.6,99,32.750068
-21.12,500,33.216682
-32.095,280,33.507828
-25.02,500,33.980202
-23.96,500,34.418268
-22.215,500,34.863415
-25.37,225,35.029377
-20.805,121,35.174495
-23.17,500,35.553224
-15.405,500,35.996273
-17.885,500,36.425535
-22.065,500,36.849498
-19.465,500,37.33765
-20.295,500,38.207466
-27.69,306,38.847241
-16.72,500,39.267805
-21.765,166,39.387216
-26.685,252,39.663926
-18.99,500,40.129157
-21.81,500,40.615548
-18.035,500,41.766228
-20.43,500,42.701243
-22.91,500,43.354321
-20.125,500,43.827832
-16.42,500,44.375451
-15.31,500,45.428549
-24.63,273,45.934959
-14.36,500,46.795043
-15.805,500,47.313678
-14.765,500,48.05164
-35.54,498,49.631239
-15.74,500,50.716043
-15.81,500,51.776018
-18.215,500,52.649399
-16.35,500,53.21237
-17.25,500,53.674926
-13.68,500,54.218426
-20.23,153,54.331189
-27.14,333,54.653085
-12.89,500,55.085079
-13.96,500,55.555005
-16.545,500,56.000466
-15.475,500,56.694902
-14.27,500,57.427979
-11.115,500,57.997283
-15.76,500,58.468764
-10.965,500,58.98977
-18.97,75,59.0718
-13.06,500,59.506426
-30.865,445,59.921299
-20.325,111,60.062623
-26.62,377,60.544729
-19.62,500,61.584231
-19.455,139,61.788817
-14.7,500,63.567408
-12.28,500,64.665517
-14.325,500,65.79616
-14.93,500,66.887264
-18.305,500,67.972857
-11.82,500,69.052561
-15.83,500,70.114132
-15.47,500,71.287443
-29.87,381,71.992336
-16.62,500,73.047931
-13.17,500,74.127921
-14.03,500,75.227615
-14.515,500,76.332609
-17.46,500,77.387917
-11.875,500,78.140651
-11.36,500,78.563805
-14.77,500,79.300205
-19.72,82,79.452793
-20.595,500,80.170536
-12.695,500,80.607121
-12.075,500,81.083791
-12.035,500,81.517896
-14.535,500,82.177044
-11.605,500,83.325454
