#{"t_start": 1779731193.173034, "env_id": "None"}
r,l,t
-21.835,88,0.118699
-30.745,500,0.752476
-32.92,500,1.472081
-32.41,500,2.164784
-45.455,462,4.064637
-26.415,157,4.243507
-21.0,78,4.319289
-32.965,500,4.962467
-26.17,133,5.162636
-24.86,153,5.355686
-32.43,240,5.637745
-31.405,500,6.25978
-33.74,500,8.029239
-30.335,500,8.70988
-28.99,500,9.331876
-30.38,500,10.027807
-30.535,500,11.850343
-43.45,422,12.301184
-29.53,500,12.944582
-32.895,500,13.531222
-29.11,500,15.502701
-29.4,500,16.042793
-28.845,500,16.60612
-28.895,500,17.166587
-49.55,495,17.688412
-29.785,500,19.608549
-45.36,464,20.161955
-27.43,500,20.738709
-29.585,500,21.31912
-29.335,500,23.32404
-28.125,500,24.724269
-27.365,500,26.255936
-26.6,500,27.537947
-26.535,500,31.68889
-24.425,500,32.61286
-29.915,231,33.353234
-28.185,500,34.434422
-28.525,500,38.63567
-27.65,500,40.20909
-24.61,500,41.607698
-27.835,500,42.605649
-25.815,500,43.48568
-27.39,500,47.200007
-26.7,500,48.060936
-27.41,500,48.903491
-24.415,500,49.759835
-24.775,500,52.231886
-23.48,500,52.890464
-22.565,500,53.397356
-24.36,500,53.928735
-23.3,500,55.656735
-24.815,500,56.190967
-23.53,500,56.724635
-23.8,500,57.251367
-23.26,500,58.921856
-23.695,500,59.407624
-25.91,500,59.916011
-22.925,500,60.420871
-21.505,500,61.974266
-21.08,500,62.548824
-23.315,500,63.103977
-21.245,500,63.638477
-20.98,500,65.254961
-22.075,500,65.748155
-23.75,500,66.220164
-22.77,500,66.764108
-23.245,500,68.517243
-20.04,500,69.013237
-19.92,99,69.110267
-32.645,325,69.443271
-18.21,500,69.93239
-20.565,500,71.674962
-19.57,500,72.172031
-21.35,500,72.640192
-20.285,107,72.74338
-21.345,500,73.218705
-24.285,179,73.387607
-19.5,500,74.91795
-21.18,500,75.386126
-20.69,500,75.844549
-20.77,500,76.304279
-20.355,500,77.882677
-19.99,500,78.365775
-22.28,500,78.848188
-19.33,500,79.40344
-17.475,500,81.30268
-20.305,500,81.809911
-16.435,500,82.309699
-34.585,412,82.770278
-23.875,500,84.553114
-22.13,500,85.101933
-30.14,356,85.500067
-19.355,500,85.973007
-23.965,500,86.496244
-20.13,500,88.316293
-16.775,500,88.792462
-23.0,500,89.348463
-17.745,500,89.946178
-18.15,500,91.899308
-17.3,500,92.478886
-18.53,500,92.989356
-22.995,500,93.524519
-17.93,500,96.18225
-17.75,500,97.722801
-18.37,500,99.16856
-21.96,500,100.855396
-18.175,500,106.115168
-24.475,500,107.196917
-17.9,500,108.459687
-20.19,500,109.467192
