#{"t_start": 1779731024.9337623, "env_id": "None"}
r,l,t
-32.1,500,0.654611
-22.425,94,0.834482
-46.485,439,1.407255
-44.575,423,2.025793
-28.33,209,2.293786
-31.89,500,9.54472
-38.125,311,10.294487
-32.545,500,11.359424
-31.75,500,12.561092
-41.01,391,14.319499
-31.31,500,21.562854
-31.445,500,22.760433
-30.165,500,23.856572
-31.745,500,24.893178
-32.69,500,31.365027
-29.725,500,33.2522
-30.755,500,35.318988
-29.805,500,36.777299
-28.965,500,42.437402
-29.485,500,43.693791
-29.52,500,45.874235
-29.97,500,47.326462
-31.86,500,53.591313
-29.26,500,55.281613
-28.155,500,56.548575
-29.77,500,58.305203
-29.3,500,64.130983
-29.145,500,65.236773
-26.99,500,66.436003
-27.05,500,67.411045
-28.29,500,72.913346
-25.885,500,73.982017
-23.215,500,75.039146
-26.99,500,76.104573
-32.015,345,76.768731
-26.195,500,82.426708
-26.755,207,82.816252
-26.505,500,83.799451
-28.005,500,84.828618
-25.37,500,85.831645
-26.5,500,91.304569
-25.985,500,92.292142
-25.795,202,92.696343
-28.685,500,93.675544
-24.905,500,99.295821
-25.44,500,100.324247
-25.255,500,101.395229
-24.015,500,102.419225
-26.445,500,108.092216
-23.075,500,109.169708
-22.71,500,110.225385
-22.295,500,111.382453
-23.855,500,116.850547
-24.66,500,117.395139
-21.815,500,117.970107
-25.23,500,118.556847
-24.06,500,119.072808
-24.57,500,120.993896
-25.34,500,121.508632
-27.095,500,122.046238
-23.61,500,122.559903
-23.81,500,124.444091
-24.6,500,124.942791
-27.28,500,125.449674
-23.37,500,125.928577
-15.84,500,127.816982
-18.0,500,128.292361
-21.765,500,128.786295
-19.84,500,129.317892
-19.13,500,131.334344
-29.225,327,131.648782
-21.535,500,132.144547
-18.9,500,132.6457
-21.775,500,134.419101
-18.64,500,134.911253
-34.275,338,135.235792
-20.375,500,135.712018
-21.545,500,136.189007
-20.48,500,138.031446
-39.825,487,138.542027
-20.32,500,139.105369
-18.34,500,139.632244
-20.74,500,141.388164
-19.62,500,142.026553
-20.605,500,142.652963
-20.28,500,143.261451
-22.015,500,145.024194
-23.58,500,145.70735
-20.3,500,146.440252
-17.255,500,147.066645
-21.87,500,148.928771
-19.26,500,149.588341
-21.275,500,150.220945
-18.55,500,150.88598
-33.51,465,152.730983
-17.06,500,153.353549
-16.445,500,154.112052
-18.71,500,154.691292
-20.65,500,156.545703
-19.825,500,157.175951
-16.555,500,157.761343
-18.465,500,158.364856
-21.125,500,160.198612
-22.26,500,160.821089
-16.855,500,161.452189
-21.72,500,162.030262
