#{"t_start": 1779733658.8560503, "env_id": "None"}
r,l,t
-21.835,88,0.186716
-30.83,500,1.295706
-32.235,500,2.395487
-31.76,500,3.502272
-44.905,464,4.505899
-32.885,253,4.981977
-30.24,500,6.075595
-26.33,151,6.347571
-25.485,156,6.796936
-21.185,68,6.93137
-24.655,147,7.203429
-31.25,210,7.56504
-28.19,500,8.613252
-26.965,180,9.125139
-27.145,203,9.470604
-28.68,500,10.541869
-24.885,146,10.801222
-27.975,500,11.898757
-25.875,500,12.982343
-25.72,169,13.450541
-27.27,500,14.531068
-25.64,500,15.568189
-23.78,500,16.645603
-27.78,500,17.724818
-25.87,500,18.80774
-23.18,500,19.883971
-22.525,500,20.957356
-41.44,499,21.838854
-23.52,500,22.938295
-41.17,463,23.952094
-20.975,500,25.018392
-22.03,500,26.100878
-34.195,361,26.941867
-28.525,500,28.036811
-25.31,500,29.121415
-33.65,288,29.823323
-21.69,500,30.902429
-23.215,500,31.807235
-21.53,500,32.88093
-25.685,207,33.440193
-20.13,500,34.522193
-19.415,500,35.614843
-18.725,500,36.692855
-18.025,500,37.791164
-19.43,500,38.894236
-19.38,500,39.962902
-17.35,500,41.035362
-17.74,500,42.116831
-16.66,500,43.170743
-18.635,500,44.224359
-20.11,95,44.404801
-17.495,500,45.478502
-17.175,500,46.577297
-17.61,500,47.656513
-16.99,500,48.72843
-18.44,500,49.783957
-21.615,500,50.871872
-17.985,500,51.94542
-21.41,500,53.031768
-17.585,500,54.103551
-18.255,500,55.169381
-17.705,500,56.247896
-16.765,500,57.342386
-17.005,500,58.405445
-16.285,500,59.298715
-12.875,500,60.33597
-20.31,500,61.395641
-13.335,500,62.471459
-18.42,500,63.557024
-30.08,313,64.30248
-16.22,500,65.372245
-18.52,500,66.473634
-16.085,500,67.567716
-11.87,500,68.65114
-22.76,200,69.010661
-17.29,500,70.092825
-27.5,268,70.76038
-17.12,500,71.82947
-16.865,500,72.905526
-14.965,500,73.97782
-15.045,500,75.054499
-16.12,500,76.130361
-12.67,500,77.178405
-31.44,319,77.757058
-12.93,500,78.831757
-11.52,500,79.902105
-14.61,500,80.979956
-11.74,500,82.045703
-34.71,428,83.011133
-16.655,500,84.089123
-14.255,500,85.193562
-13.34,500,86.269548
-15.945,500,87.32325
-18.855,500,88.402374
-32.615,378,89.264602
-14.42,500,90.321576
-17.665,500,91.416719
-22.93,224,91.824295
-12.625,500,92.920061
-13.005,500,93.996913
-25.785,295,94.68797
-22.455,166,95.002002
-13.42,500,96.095368
-23.94,330,96.842194
-16.555,500,97.89
-14.53,500,98.803447
-17.225,500,99.917553
-13.465,500,100.986128
-33.46,497,102.077172
-14.695,500,103.242068
-19.855,500,104.316248
-15.6,500,105.379531
-17.13,500,106.44574
-20.41,128,106.847975
