#{"t_start": 1779730576.878805, "env_id": "None"}
r,l,t
-44.3,439,0.487733
-33.67,280,0.779729
-39.335,309,1.128648
-29.935,500,1.71378
-31.12,500,2.365917
-43.425,415,4.117102
-28.06,500,4.786479
-34.62,251,5.144212
-29.845,500,5.84449
-33.475,500,7.6869
-26.96,190,7.891737
-29.415,500,8.516719
-30.495,500,9.161948
-31.14,500,9.773868
-30.245,500,11.742026
-31.21,500,12.320857
-28.145,500,12.933077
-29.975,500,13.549824
-30.88,500,15.436532
-28.835,500,16.080383
-30.405,500,16.76289
-30.575,500,17.446319
-29.075,500,21.310883
-28.09,500,22.030277
-29.405,500,22.638221
-28.635,500,23.283954
-27.54,182,23.491985
-29.43,500,30.18799
-26.67,500,31.261457
-30.775,500,32.489447
-37.945,320,33.122351
-31.475,500,39.427579
-31.745,251,40.380307
-48.56,473,41.695651
-25.135,500,42.265136
-24.81,500,42.812628
-28.225,500,46.854744
-27.095,500,47.892548
-27.835,500,48.923214
-26.06,500,50.215741
-27.19,500,56.824441
-24.215,500,57.917931
-29.79,500,58.965868
-30.69,500,60.118978
-24.315,500,65.970304
-25.795,500,67.148069
-25.365,500,68.208658
-30.245,500,69.212489
-26.93,500,75.620819
-25.03,500,76.702906
-25.945,500,77.835517
-27.68,500,78.931009
-21.735,500,80.713866
-28.255,500,81.227123
-37.85,465,81.908609
-27.14,500,82.589252
-25.66,500,83.23693
-24.825,500,87.657254
-19.315,500,88.646667
-24.125,500,89.714834
-24.405,500,90.821659
-23.815,500,97.160225
-24.935,500,98.239397
-28.545,500,99.284009
-25.495,500,100.276495
-23.015,500,106.404819
-20.93,500,107.730788
-22.54,500,108.971244
-17.48,500,110.000005
-18.91,500,116.175633
-19.39,97,116.387806
-21.12,500,117.509763
-19.735,500,118.75346
-29.0,227,119.326902
-20.4,500,125.077274
-23.93,500,126.270962
-21.795,500,127.343572
-18.175,500,128.391901
-21.13,133,128.682816
-21.73,500,134.410106
-17.84,500,135.502386
-18.015,500,136.612703
-18.75,500,137.703746
-17.415,500,140.271615
-21.705,500,140.897392
-15.745,500,141.523377
-16.75,500,142.120281
-21.26,128,142.275795
-15.615,500,144.051249
-19.815,500,144.622619
-21.05,500,145.292459
-21.97,188,145.517147
-23.65,500,146.190197
-15.16,500,147.888528
-23.94,188,148.139399
-17.635,500,148.852653
-19.96,90,148.969535
-17.685,500,149.531739
-19.79,110,149.666516
-17.145,500,151.39738
-30.975,433,151.827539
-16.73,500,152.318008
-28.37,258,152.62788
-18.85,500,153.239213
-14.775,500,155.017753
-15.895,500,155.65081
-24.075,254,156.005995
-17.005,500,156.547383
-15.205,500,158.300654
-22.09,500,158.880491
-15.595,500,159.440376
-17.005,500,159.999926
-18.35,500,160.610406
