#{"t_start": 1779733007.613924, "env_id": "None"}
r,l,t
-30.765,500,0.506109
-36.89,327,0.74511
-32.625,233,1.385233
-30.265,500,1.839297
-33.535,254,2.038732
-33.505,500,2.94807
-29.91,500,3.46285
-30.55,500,4.890232
-28.93,500,5.33232
-29.565,500,6.43499
-30.5,500,6.783689
-45.815,474,7.471592
-36.83,385,7.744367
-44.235,407,8.024063
-27.955,500,8.754427
-40.57,386,9.021472
-26.995,500,10.072815
-26.645,500,10.858841
-28.59,500,12.76771
-39.215,387,13.49706
-26.715,500,15.187328
-26.76,500,16.126982
-25.915,500,17.775256
-25.425,500,18.636549
-24.655,500,20.328598
-25.005,500,21.267927
-24.82,500,22.915397
-22.73,500,23.830817
-23.41,500,25.459518
-30.76,338,26.089023
-21.105,500,26.990456
-21.605,500,28.644279
-22.87,195,28.997569
-19.13,500,30.623256
-22.46,500,31.367311
-20.945,500,32.699085
-34.32,365,33.311152
-17.98,500,33.603766
-20.955,500,34.325809
-22.12,500,34.669207
-21.47,500,35.298592
-19.845,500,35.652801
-32.105,398,36.333333
-19.0,500,36.61798
-17.685,500,37.17875
-17.07,500,37.520087
-16.63,500,38.163619
-14.83,500,38.51171
-15.975,500,39.100523
-17.45,500,39.45475
-17.985,500,40.058858
-19.525,500,40.418199
-18.69,500,41.010501
-16.155,500,41.380462
-17.22,500,42.005967
-17.665,500,42.362667
-16.23,500,42.942308
-19.3,124,43.049654
-33.1,471,43.375293
-16.915,500,44.047407
-12.675,500,44.454898
-16.755,500,45.205726
-17.745,500,45.714338
-16.73,500,46.442355
-17.905,500,47.546521
-19.84,111,47.677473
-17.205,500,49.11013
-28.045,303,49.635511
-17.765,500,49.984558
-18.335,500,50.766819
-29.02,367,51.063579
-16.885,500,51.756182
-17.56,500,52.071606
-16.17,500,52.705097
-15.405,500,53.451867
-17.93,500,56.288272
-15.565,500,57.221527
-13.62,500,58.995088
-15.605,500,59.670103
-13.23,500,60.99486
-22.225,210,61.410595
-24.235,282,61.808555
-13.615,500,62.505581
-14.225,500,62.856817
-25.32,343,63.174617
-29.365,367,63.850455
-14.4,500,64.192833
-15.375,500,65.014553
-13.845,500,65.731997
-12.41,500,67.1765
-14.67,500,67.788036
-15.145,500,68.65439
-14.195,500,68.996749
-11.99,500,69.730081
-15.35,500,70.070025
-13.85,500,70.845992
-11.89,500,71.78639
-13.745,500,72.874155
-15.565,500,73.556696
-13.94,500,74.526305
-12.94,500,74.896022
-16.715,500,75.674539
-13.59,500,76.05248
-13.73,500,76.779769
-16.65,500,77.654268
-33.365,442,78.804847
-20.015,182,79.016871
-13.16,500,79.617242
