#{"t_start": 1779732222.798492, "env_id": "None"}
r,l,t
-29.135,190,0.383926
-22.96,120,0.594486
-38.56,312,1.148187
-30.76,232,1.564577
-39.61,327,2.852888
-31.47,500,3.748066
-49.475,500,5.346103
-29.69,500,6.229104
-31.665,500,7.801003
-31.195,500,8.708088
-29.345,500,10.332806
-30.745,500,11.244652
-30.3,500,12.849833
-50.72,495,13.779461
-27.795,500,15.361552
-31.38,500,16.245601
-33.645,279,16.745508
-28.12,500,18.352458
-26.93,206,18.731009
-27.025,500,19.643283
-29.66,500,21.237244
-29.885,500,22.130699
-29.53,500,23.711685
-25.965,500,24.605543
-25.46,500,26.20253
-25.89,500,27.10385
-24.06,500,28.694984
-27.4,500,29.603706
-25.28,500,31.208617
-24.815,500,32.103807
-26.755,500,33.657868
-23.395,500,34.531626
-23.79,500,36.200941
-22.975,500,37.15631
-17.96,500,38.811906
-20.09,500,39.711678
-19.3,500,41.354867
-25.76,270,41.85942
-36.515,475,42.699709
-19.645,500,44.298875
-18.63,500,45.201837
-25.275,223,46.298
-20.785,500,47.195028
-21.135,147,47.449392
-22.285,500,49.073875
-21.805,500,49.938303
-18.61,500,51.51725
-18.28,500,52.402726
-18.49,500,53.979684
-20.095,500,54.855521
-18.955,500,56.453305
-15.15,500,57.366477
-31.53,299,58.589278
-18.04,500,59.495659
-19.615,134,59.740277
-18.09,500,61.398971
-16.74,500,62.307185
-29.085,271,62.795108
-17.26,500,64.38237
-15.765,500,65.286521
-18.02,500,66.8802
-18.14,500,67.763722
-18.525,500,69.379416
-18.955,500,70.257014
-16.525,500,71.869199
-22.025,177,72.186513
-18.97,500,73.091355
-19.77,500,74.70769
-18.595,500,75.612936
-31.325,425,77.106385
-26.54,298,77.625248
-16.17,500,79.218839
-15.43,500,80.109516
-13.82,500,81.726368
-33.18,457,82.539272
-14.355,500,84.115095
-26.3,332,84.71306
-29.61,414,85.464919
-12.755,500,87.041273
-13.37,500,87.936027
-13.885,500,89.522748
-14.89,500,90.43504
-13.54,500,92.048056
-17.245,500,92.958111
-29.99,428,94.452368
-14.875,500,95.34662
-14.915,500,96.934954
-13.67,500,97.840945
-13.855,500,99.454062
-12.165,500,100.353961
-34.12,486,101.900414
-17.435,500,102.817758
-12.625,500,104.462792
-15.865,500,105.396212
-15.25,500,106.262867
-20.115,129,107.19319
-16.235,500,108.087235
-17.555,500,109.693479
-19.17,114,109.895444
-14.64,500,110.757226
-14.765,500,112.318973
-16.4,500,113.213212
-20.285,131,113.445334
-24.25,217,114.520562
-34.035,459,115.357742
-16.375,500,116.248409
-15.38,500,117.92354
-16.695,500,118.892095
-15.195,500,120.469516
-19.155,500,121.393655
-16.695,500,122.994849
-16.1,500,123.896306
