#{"t_start": 1779732485.3569539, "env_id": "None"}
r,l,t
-46.15,484,0.979684
-24.785,106,1.171918
-32.225,211,1.54736
-33.805,264,2.708657
-29.39,500,3.632207
-31.035,500,5.192501
-49.955,496,6.066744
-30.665,500,6.93015
-29.575,500,8.52523
-30.78,500,9.408591
-41.17,353,10.756914
-31.155,500,11.654104
-30.505,500,13.263407
-32.36,500,14.173887
-29.75,500,15.725681
-30.915,500,16.635529
-29.815,500,18.250772
-30.04,500,19.164475
-29.635,500,21.126094
-28.15,500,22.715086
-31.975,500,24.391661
-27.77,500,25.309226
-24.145,139,25.583869
-36.625,336,26.931719
-26.47,500,27.899731
-28.215,194,28.28871
-27.375,500,29.968982
-26.355,500,30.920511
-27.145,500,32.585858
-27.59,500,33.526406
-28.205,500,35.310051
-26.71,500,36.312478
-26.15,500,38.065
-26.995,500,38.980935
-21.4,500,40.545112
-26.305,500,41.454433
-24.745,500,43.060125
-25.14,500,43.965718
-23.375,500,45.547412
-27.575,500,46.438859
-20.42,95,46.613894
-21.615,500,48.226516
-20.94,500,49.134151
-18.54,500,50.685726
-20.65,500,51.58145
-20.14,500,53.207781
-18.25,500,54.149272
-17.345,500,55.764957
-15.095,500,56.633001
-17.955,500,58.241854
-16.535,500,59.206599
-21.495,134,59.45472
-21.675,500,61.029304
-16.96,500,61.946793
-25.545,272,63.059201
-22.85,197,63.41644
-16.015,500,64.308796
-31.91,449,65.839443
-19.545,111,66.046503
-15.415,500,66.944817
-28.905,385,68.326646
-34.675,436,69.106165
-29.385,387,69.801638
-15.805,500,71.396201
-17.555,500,72.321242
-23.84,266,73.492046
-21.335,172,73.8064
-18.325,500,74.705343
-20.13,118,74.923689
-19.31,500,76.540063
-17.03,500,77.427496
-20.42,500,79.007099
-15.98,500,79.901663
-20.45,500,81.48263
-16.51,500,82.453756
-15.72,500,84.0948
-17.69,500,85.021057
-18.42,500,86.664461
-15.24,500,87.549137
-15.145,500,89.17156
-15.53,500,90.090446
-14.27,500,91.735146
-16.595,500,92.685031
-11.56,500,94.300115
-16.05,500,95.264784
-14.19,500,96.980331
-13.755,500,97.932
-13.58,500,99.607202
-14.235,500,100.507429
-15.57,500,102.1257
-14.98,500,103.037972
-14.09,500,104.643828
-25.935,315,105.215757
-25.655,393,105.912203
-12.565,500,107.539951
-14.61,500,108.450308
-15.375,500,110.060443
-14.59,500,110.958153
-13.795,500,112.559095
-16.13,500,113.467635
-14.12,500,115.054011
-13.435,500,115.941995
-27.005,323,117.226495
-14.19,500,118.164964
-13.25,500,119.75269
-12.065,500,120.670635
-13.45,500,122.247669
-30.2,392,122.993073
-21.045,202,123.358647
-21.635,209,123.751076
-11.98,500,125.322352
-28.44,351,125.963227
